subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1115,ses-2,run-02,anode,control,-54.90811412,-34.70381593,70.46175243,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-5.724362889920599,11.811781261285567,-5.313604206161969,14.16054012810596,P1,P1,a_baseline,101.59,0.0316,54.3,58.49,True,different_montage?+high_residual,52.05,control
sub-1115,ses-2,run-02,cathode1,control,-48.90103011,17.63319904,67.04081958,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-4.71188320389512,9.657927979943835,-9.41818942466773,14.289146518664229,P1,P1,a_baseline,101.59,0.0316,54.3,58.49,True,different_montage?+high_residual,52.05,control
sub-1115,ses-2,run-02,cathode2,control,-72.03637735,-59.61882977,31.90624346,-72.38837427648195,-65.19392501973634,31.37096372927896,active,0.35199692648195935,5.575095249736343,0.5352797307210402,5.611783430426219,P1,P1,a_baseline,101.59,0.0316,54.3,58.49,True,different_montage?+high_residual,52.05,control
sub-1115,ses-2,run-02,cathode3,control,-17.24264611,-66.23460301,87.27145534,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-13.808125129697023,6.468231285558275,0.24369514156360594,15.249974520728454,P1,P1,a_baseline,101.59,0.0316,54.3,58.49,True,different_montage?+high_residual,52.05,control
sub-1115,ses-3,run-01,anode,control,-54.44978904,-54.05253553,68.87433746,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-5.266037809920597,-7.536938338714435,-6.901019176161967,11.49611497014761,P1,P1,a_baseline,105.34,0.0264,56.32,60.01,True,different_montage?+high_residual,52.58,control
sub-1115,ses-3,run-01,cathode1,control,-47.80152503,-0.71663918,75.55822523,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-3.6123781238951196,-8.691910240056167,-0.9007837746677296,9.455685630343996,P1,P1,a_baseline,105.34,0.0264,56.32,60.01,True,different_montage?+high_residual,52.58,control
sub-1115,ses-3,run-01,cathode2,control,-70.42368564,-66.55742334,19.78260629,-72.38837427648195,-65.19392501973634,31.37096372927896,active,1.9646886364819522,-1.363498320263659,-11.588357439278958,11.83254652423455,P1,P1,a_baseline,105.34,0.0264,56.32,60.01,True,different_montage?+high_residual,52.58,control
sub-1115,ses-3,run-01,cathode3,control,-15.86939813,-85.52469335,78.81749275,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-12.434877149697025,-12.821859054441731,-8.210267448436397,19.657943201537666,P1,P1,a_baseline,105.34,0.0264,56.32,60.01,True,different_montage?+high_residual,52.58,control
sub-1115,ses-3,run-02,anode,control,-52.25517134,-53.24042649,65.57648654,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-3.071420109920595,-6.7248292987144325,-10.198870096161968,12.596582942483233,P1,P1,a_baseline,104.84,0.0229,56.23,59.39,True,different_montage?+high_residual,53.23,control
sub-1115,ses-3,run-02,cathode1,control,-44.9937795,-0.46731556,71.58475243,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-0.8046325938951213,-8.442586620056167,-4.87425657466774,9.781772825209217,P1,P1,a_baseline,104.84,0.0229,56.23,59.39,True,different_montage?+high_residual,53.23,control
sub-1115,ses-3,run-02,cathode2,control,-70.34591681,-66.23917201,17.76362054,-72.38837427648195,-65.19392501973634,31.37096372927896,active,2.042457466481949,-1.0452469902636636,-13.607343189278957,13.799418916891375,P1,P1,a_baseline,104.84,0.0229,56.23,59.39,True,different_montage?+high_residual,53.23,control
sub-1115,ses-3,run-02,cathode3,control,-14.27779221,-85.6655049,74.27747844,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-10.843271229697024,-12.962670604441726,-12.750281758436401,21.17019237228488,P1,P1,a_baseline,104.84,0.0229,56.23,59.39,True,different_montage?+high_residual,53.23,control
