subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1161,ses-4,run-01,anode,control,-49.17119925,-6.90895405,69.3747438,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-9.833789455609171,10.0848808937977,-8.612225319062333,16.50995647013142,P1,P1,a_baseline,103.92,0.0305,55.22,59.33,True,different_montage?+high_residual,54.39,control
sub-1161,ses-4,run-02,anode,control,-48.78800778,-7.73229277,69.75750721,-39.33740979439083,-16.9938349437977,77.98696911906234,active,-9.450597985609171,9.2615421737977,-8.229461909062337,15.582490463187888,P1,P1,a_baseline,105.4,0.0273,55.36,59.16,True,different_montage?+high_residual,53.89,control
sub-1163,ses-1,run-01,anode,control,-50.39544748,-41.36672885,52.90096321,-44.94800946598743,-42.4115230422443,57.206780487310965,active,-5.447438014012569,1.0447941922442965,-4.305817277310965,7.021840089766088,P1,P1,a_baseline,112.01,0.0259,55.53,59.16,True,different_montage?+high_residual,48.0,control
sub-1163,ses-1,run-02,anode,control,-49.27747588,-41.45040184,52.65488525,-44.94800946598743,-42.4115230422443,57.206780487310965,active,-4.329466414012565,0.9611212022442999,-4.551895237310966,6.355138365678641,P1,P1,a_baseline,110.82,0.0175,56.33,58.73,True,different_montage?+high_residual,47.78,control
sub-1163,ses-2,run-01,anode,control,-46.45390347,-38.69353418,56.63701327,-44.94800946598743,-42.4115230422443,57.206780487310965,active,-1.5058940040125677,3.7179888622442974,-0.569767217310968,4.0516407309898455,P1,P1,a_baseline,108.96,0.0436,56.19,61.84,True,different_montage?+high_residual,48.4,control
sub-1163,ses-2,run-02,anode,control,-46.46415534,-39.29244947,56.93166521,-44.94800946598743,-42.4115230422443,57.206780487310965,active,-1.5161458740125653,3.1190735722442966,-0.27511527731096663,3.478937578653577,P1,P1,a_baseline,105.83,0.0514,54.8,61.92,True,different_montage?+high_residual,48.6,control
sub-1163,ses-4,run-01,anode,control,-53.60924992,-41.99211857,49.86180031,-44.94800946598743,-42.4115230422443,57.206780487310965,active,-8.661240454012571,0.41940447224429533,-7.3449801773109655,11.364053859369616,P1,P1,a_baseline,110.83,0.0178,57.3,59.61,True,different_montage?+high_residual,51.55,control
sub-1163,ses-4,run-02,anode,control,-53.56061096,-42.9902947,50.85114617,-44.94800946598743,-42.4115230422443,57.206780487310965,active,-8.612601494012566,-0.578771657755702,-6.355634317310965,10.719420166308884,P1,P1,a_baseline,110.62,0.021,56.49,59.44,True,different_montage?+high_residual,51.57,control
sub-1165,ses-1,run-01,anode,control,-45.73897008,-31.31960336,66.49239914,-45.86061391126603,-29.500952862766468,65.63155807552194,active,0.12164383126602729,-1.8186504972335307,0.8608410644780662,2.0157713637872168,P1,P1,a_baseline,109.84,0.0464,54.72,61.33,True,different_montage?+high_residual,46.3,control
sub-1165,ses-1,run-02,anode,control,-44.66502775,-29.64771721,65.22196999,-45.86061391126603,-29.500952862766468,65.63155807552194,active,1.1955861612660286,-0.14676434723353182,-0.40958808552193204,1.2722925930898303,P1,P1,a_baseline,111.67,0.054,53.67,61.27,True,different_montage?+high_residual,45.09,control
sub-1165,ses-2,run-01,anode,control,-54.34573572,-33.71665182,58.63794791,-45.86061391126603,-29.500952862766468,65.63155807552194,active,-8.485121808733972,-4.215698957233535,-6.993610165521936,11.77624698086638,P1,P1,a_baseline,104.76,0.0417,54.71,60.27,True,different_montage?+high_residual,53.16,control
sub-1165,ses-2,run-02,anode,control,-54.39232311,-33.6702065,59.02217095,-45.86061391126603,-29.500952862766468,65.63155807552194,active,-8.53170919873397,-4.169253637233531,-6.609387125521934,11.569647182103783,P1,P1,a_baseline,104.16,0.0427,54.72,60.33,True,different_montage?+high_residual,53.21,control
sub-1165,ses-3,run-01,anode,control,-53.05695363,-28.30570351,59.58774323,-45.86061391126603,-29.500952862766468,65.63155807552194,active,-7.196339718733974,1.1952493527664672,-6.043814845521936,9.473311155539449,P1,P1,a_baseline,106.81,0.059,53.56,61.45,True,different_montage?+high_residual,52.41,control
sub-1165,ses-3,run-02,anode,control,-52.17425744,-28.09741934,59.07510148,-45.86061391126603,-29.500952862766468,65.63155807552194,active,-6.313643528733969,1.4035335227664696,-6.5564565955219365,9.209729857407147,P1,P1,a_baseline,106.48,0.059,53.54,61.41,True,different_montage?+high_residual,52.11,control
