=== Extract Coordinates Log  2026-04-07 09:34:20 ===

[09:34:20] INFO  Script started
[09:34:20] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:20] INFO  Output CSV : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_MeMoSLAP_20260407.csv
[09:34:20] INFO  Log file   : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_20260407_093420.txt

[09:34:20] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:23] INFO  Found 3850 inference file(s). Starting extraction.

[09:35:29] INFO  OK       automated_electrode_extraction sub-013 unzipped  —  4 clusters, coordinates extracted.
[09:35:30] INFO  OK       automated_electrode_extraction sub-013 unzipped  —  4 clusters, coordinates extracted.
[09:35:30] INFO  OK       automated_electrode_extraction sub-013 unzipped  —  4 clusters, coordinates extracted.
[09:35:31] INFO  OK       automated_electrode_extraction sub-013 unzipped  —  4 clusters, coordinates extracted.
[09:35:32] INFO  OK       automated_electrode_extraction sub-014 unzipped  —  4 clusters, coordinates extracted.
[09:35:33] INFO  OK       automated_electrode_extraction sub-014 unzipped  —  4 clusters, coordinates extracted.
[09:35:34] INFO  OK       automated_electrode_extraction sub-014 unzipped  —  4 clusters, coordinates extracted.
[09:35:34] INFO  OK       automated_electrode_extraction sub-014 unzipped  —  4 clusters, coordinates extracted.
[09:35:35] INFO  OK       automated_electrode_extraction sub-014 unzipped  —  4 clusters, coordinates extracted.
[09:35:36] INFO  OK       automated_electrode_extraction sub-014 unzipped  —  4 clusters, coordinates extracted.
[09:35:37] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:38] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:38] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:39] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:40] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:41] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:41] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:42] INFO  OK       automated_electrode_extraction sub-015 unzipped  —  4 clusters, coordinates extracted.
[09:35:43] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:44] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:45] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:46] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:46] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:47] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:48] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:49] INFO  OK       automated_electrode_extraction sub-016 unzipped  —  4 clusters, coordinates extracted.
[09:35:50] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:50] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:51] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:52] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:53] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:53] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
