=== Extract Coordinates Log  2026-09-04 08:59:38 ===

[08:59:38] INFO  Script started
[08:59:38] INFO  Network    : reduced  (not in registry)
[08:59:38] INFO  Mask glob  : *_inference_reduced.nii.gz
[08:59:38] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:38] INFO  Output CSV : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_reduced_20260904.csv
[08:59:38] INFO  Log file   : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_reduced_20260904_085938.txt

[08:59:38] INFO  Distance window : 5-125 mm
[08:59:38] INFO  Star min angle  : not enforced
[08:59:38] INFO  Star max rad CV : not enforced
[08:59:38] INFO  Audit names above: 90 mm

[08:59:38] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:41] INFO  Found 4234 inference file(s). Starting extraction.

[09:00:55] INFO  OK       sub-013 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:00:56] INFO  OK       sub-013 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:00:56] INFO  OK       sub-013 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:00:58] INFO  OK       sub-014 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:00:59] INFO  OK       sub-014 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:00] INFO  OK       sub-014 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:01] INFO  OK       sub-014 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:02] INFO  OK       sub-014 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:03] INFO  OK       sub-014 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:04] INFO  OK       sub-015 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:01:04] INFO  OK       sub-015 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:01:05] INFO  OK       sub-015 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:06] INFO  OK       sub-015 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:07] INFO  OK       sub-015 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:08] INFO  OK       sub-015 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:09] INFO  OK       sub-015 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:10] INFO  OK       sub-015 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:11] INFO  OK       sub-016 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:01:12] INFO  OK       sub-016 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:01:13] INFO  OK       sub-016 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:14] INFO  OK       sub-016 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:15] INFO  OK       sub-016 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:16] INFO  OK       sub-016 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:17] INFO  OK       sub-016 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:18] INFO  OK       sub-016 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:19] INFO  OK       sub-017 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:01:20] INFO  OK       sub-017 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:01:21] INFO  OK       sub-017 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:21] INFO  OK       sub-017 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:22] INFO  OK       sub-017 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:23] INFO  OK       sub-017 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:24] INFO  OK       sub-017 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:25] INFO  OK       sub-017 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:26] INFO  OK       sub-018 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:27] INFO  OK       sub-018 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:28] INFO  OK       sub-018 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:29] INFO  OK       sub-018 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:30] INFO  OK       sub-018 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:30] INFO  OK       sub-018 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:31] INFO  OK       sub-020 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:32] INFO  OK       sub-020 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:33] INFO  OK       sub-020 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:34] INFO  OK       sub-020 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:35] INFO  OK       sub-020 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:35] INFO  OK       sub-020 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:37] INFO  OK       sub-021 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:01:38] INFO  OK       sub-021 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:01:38] INFO  OK       sub-021 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:39] INFO  OK       sub-021 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:40] INFO  OK       sub-021 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:41] INFO  OK       sub-021 ses-3 run-02  —  4 clusters, coordinates extracted.
