subject,session,run,electrode,condition,X,Y,Z,coordinates_xyz,euclidean_norm
sub-002,ses-4,run-02,cathode2,unknown,67.53522386,-69.69689581,43.15380996,"[67.535, -69.697, 43.154]",106.21165219237531
sub-002,ses-4,run-02,cathode3,unknown,81.62899002,-26.66725639,8.7185837,"[81.629, -26.667, 8.719]",86.31597926681457
sub-002,ses-baseline,run-baseline,anode,control,54.554289328549565,-11.952198089520683,80.0655452913818,"[54.554, -11.952, 80.066]",97.61924536750193
sub-002,ses-baseline,run-baseline,anode,target,-61.43532338263444,-45.59389660592666,64.80947027420022,"[-61.435, -45.594, 64.809]",100.26649392525522
sub-002,ses-baseline,run-baseline,cathode1,control,57.989730402701646,-60.81426861613066,73.00428757029796,"[57.990, -60.814, 73.004]",111.31401575336179
sub-002,ses-baseline,run-baseline,cathode1,target,-62.27766000515173,-5.911154864563402,61.4765473741527,"[-62.278, -5.911, 61.477]",87.70869149974003
sub-002,ses-baseline,run-baseline,cathode2,control,73.78054790741582,16.780517943855994,44.3652870224429,"[73.781, 16.781, 44.365]",87.71222106734213
sub-002,ses-baseline,run-baseline,cathode2,target,-66.34026489049577,-65.63692772375535,30.929848221702084,"[-66.340, -65.637, 30.930]",98.31527113206857
sub-002,ses-baseline,run-baseline,cathode3,control,10.132346678232032,3.1567062953254195,95.15251594860966,"[10.132, 3.157, 95.153]",95.74252208498187
sub-002,ses-baseline,run-baseline,cathode3,target,-34.13660855870171,-60.65893361269984,89.38650217207372,"[-34.137, -60.659, 89.387]",113.29060438305594
sub-003,ses-1,run-01,anode,target,-67.98465617,-53.52287138,46.29104072,"[-67.985, -53.523, 46.291]",98.12987152877476
sub-003,ses-1,run-01,cathode1,target,-69.77152256,-14.11905827,50.0194478,"[-69.772, -14.119, 50.019]",87.00205931464593
sub-003,ses-1,run-01,cathode2,target,-67.35421373,-66.09960712,11.44403718,"[-67.354, -66.100, 11.444]",95.06163345736331
sub-003,ses-1,run-01,cathode3,target,-52.50560163,-71.90103484,74.59351021,"[-52.506, -71.901, 74.594]",116.14985483865456
sub-003,ses-1,run-02,anode,target,-68.40934693,-54.66899339,47.22267913,"[-68.409, -54.669, 47.223]",99.49130117693656
sub-003,ses-1,run-02,cathode1,target,-70.01871545,-15.29521988,51.2218743,"[-70.019, -15.295, 51.222]",88.0922509148825
sub-003,ses-1,run-02,cathode2,target,-67.35664845,-66.63877162,11.79032978,"[-67.357, -66.639, 11.790]",95.48118060518816
sub-003,ses-1,run-02,cathode3,target,-53.00333523,-72.91231514,75.17861912,"[-53.003, -72.912, 75.179]",117.37710175910999
sub-003,ses-2,run-01,anode,target,-67.2151842,-48.52905501,52.89077227,"[-67.215, -48.529, 52.891]",98.33811040751462
sub-003,ses-2,run-01,cathode1,target,-66.30399281,-9.49858817,58.06953919,"[-66.304, -9.499, 58.070]",88.64826011553042
sub-003,ses-2,run-01,cathode2,target,-68.86804786,-60.5026592,16.1068906,"[-68.868, -60.503, 16.107]",93.07422688971938
sub-003,ses-2,run-01,cathode3,target,-49.51597314,-67.84621776,78.34934876,"[-49.516, -67.846, 78.349]",114.86322871769997
sub-003,ses-2,run-02,anode,target,-66.38479367,-49.12581044,52.59466827,"[-66.385, -49.126, 52.595]",97.91059805979447
sub-003,ses-2,run-02,cathode1,target,-65.17815267,-10.28596955,57.76424143,"[-65.178, -10.286, 57.764]",87.69663815130363
sub-003,ses-2,run-02,cathode2,target,-68.65319583,-60.48923814,15.78109723,"[-68.653, -60.489, 15.781]",92.85069874918914
sub-003,ses-2,run-02,cathode3,target,-48.84990147,-68.3496393,77.91773726,"[-48.850, -68.350, 77.918]",114.58254599103306
sub-003,ses-3,run-01,anode,target,-66.71989351,-50.64817645,54.83143827,"[-66.720, -50.648, 54.831]",100.1162753524765
sub-003,ses-3,run-01,cathode1,target,-67.42680815,-14.22698254,58.76052067,"[-67.427, -14.227, 58.761]",90.56257659154728
sub-003,ses-3,run-01,cathode2,target,-67.85148035,-62.91086103,15.64978702,"[-67.851, -62.911, 15.650]",93.84303732826304
sub-003,ses-3,run-01,cathode3,target,-48.09935879,-68.93313169,79.65837263,"[-48.099, -68.933, 79.658]",115.80492774774295
sub-003,ses-3,run-02,anode,target,-67.00455047,-51.96567845,55.25588269,"[-67.005, -51.966, 55.256]",101.20896250978275
sub-003,ses-3,run-02,cathode1,target,-66.95727721,-15.64854063,59.85161683,"[-66.957, -15.649, 59.852]",91.16122987537348
sub-003,ses-3,run-02,cathode2,target,-68.03335902,-63.20407779,15.47899409,"[-68.033, -63.204, 15.479]",94.14293731803168
sub-003,ses-3,run-02,cathode3,target,-48.41897008,-71.0358447,79.79231726,"[-48.419, -71.036, 79.792]",117.29152479855885
sub-003,ses-4,run-01,anode,target,-67.73749636,-50.81688124,49.91488618,"[-67.737, -50.817, 49.915]",98.2965904517732
sub-003,ses-4,run-01,cathode1,target,-68.28582932,-11.55246507,54.58651149,"[-68.286, -11.552, 54.587]",88.18220439386648
sub-003,ses-4,run-01,cathode2,target,-67.02375409,-66.30676855,12.83978944,"[-67.024, -66.307, 12.840]",95.15057204622364
sub-003,ses-4,run-01,cathode3,target,-50.9029189,-70.03496529,74.88251598,"[-50.903, -70.035, 74.883]",114.47006034420718
sub-003,ses-4,run-02,anode,target,-67.9224449,-51.39043223,50.22284262,"[-67.922, -51.390, 50.223]",98.87754531142573
sub-003,ses-4,run-02,cathode1,target,-67.97839788,-11.96864233,55.32002479,"[-67.978, -11.969, 55.320]",88.45686022192552
sub-003,ses-4,run-02,cathode2,target,-67.17141019,-66.61604582,12.9548162,"[-67.171, -66.616, 12.955]",95.48572233785195
sub-003,ses-4,run-02,cathode3,target,-51.49729774,-70.76016877,75.31447966,"[-51.497, -70.760, 75.314]",115.46100642787438
sub-003,ses-baseline,run-baseline,anode,control,50.73117118657641,-40.30870283105078,86.6356527913943,"[50.731, -40.309, 86.636]",108.18585669335299
sub-003,ses-baseline,run-baseline,anode,target,-65.26202634135505,-57.78675441791517,51.19031972504806,"[-65.262, -57.787, 51.190]",101.08852507524682
sub-003,ses-baseline,run-baseline,cathode1,control,41.242692639171224,-85.23804608750216,71.58777182626953,"[41.243, -85.238, 71.588]",118.70675327037767
sub-003,ses-baseline,run-baseline,cathode1,target,-69.3316369590712,-18.364932041231235,55.51877066221165,"[-69.332, -18.365, 55.519]",90.69994767444324
sub-003,ses-baseline,run-baseline,cathode2,control,70.78581729631334,-11.781820750894553,52.30627748072099,"[70.786, -11.782, 52.306]",88.79971787344509
sub-003,ses-baseline,run-baseline,cathode2,target,-65.79519196475549,-72.57894222861317,14.238210358043117,"[-65.795, -72.579, 14.238]",98.99210460891959
sub-003,ses-baseline,run-baseline,cathode3,control,12.192441071597877,-18.580278217210765,108.10074385663263,"[12.192, -18.580, 108.101]",110.3614660117862
sub-003,ses-baseline,run-baseline,cathode3,target,-45.157397061495274,-77.30797513830719,78.64701604948816,"[-45.157, -77.308, 78.647]",119.16822841195179
sub-004,ses-1,run-01,anode,unknown,76.50863363,-56.77190655,1.5693843,"[76.509, -56.772, 1.569]",95.28422408947132
sub-004,ses-1,run-01,cathode1,unknown,63.99229793,-83.33794634,19.77242666,"[63.992, -83.338, 19.772]",106.91667947778626
sub-004,ses-1,run-01,cathode2,unknown,74.22021533,-56.551612,-30.9198134,"[74.220, -56.552, -30.920]",98.2993389810986
sub-004,ses-1,run-01,cathode3,unknown,78.20831541,-27.90001749,20.71822482,"[78.208, -27.900, 20.718]",85.58151912010217
sub-004,ses-1,run-02,anode,unknown,76.53598397,-57.01494691,1.8038916,"[76.536, -57.015, 1.804]",95.45530387731614
sub-004,ses-1,run-02,cathode1,unknown,64.25275551,-83.60249135,19.94138122,"[64.253, -83.602, 19.941]",107.31007331800696
sub-004,ses-1,run-02,cathode2,unknown,74.01273177,-56.85661917,-30.76005759,"[74.013, -56.857, -30.760]",98.26871704891896
sub-004,ses-1,run-02,cathode3,unknown,78.20343109,-28.50046437,21.25005261,"[78.203, -28.500, 21.250]",85.9047020801643
sub-004,ses-2,run-01,anode,unknown,76.5397273,-55.63201531,-11.24570675,"[76.540, -55.632, -11.246]",95.28754851982201
sub-004,ses-2,run-01,cathode1,unknown,68.71444639,-78.69347407,5.30036869,"[68.714, -78.693, 5.300]",104.60607970925913
sub-004,ses-2,run-01,cathode2,unknown,73.54285007,-57.10891491,-40.47750691,"[73.543, -57.109, -40.478]",101.53032810084491
sub-004,ses-2,run-01,cathode3,unknown,78.14329942,-30.921087,1.48154819,"[78.143, -30.921, 1.482]",84.05167369270308
sub-004,ses-2,run-02,anode,unknown,76.03483883,-55.94835182,-10.84890589,"[76.035, -55.948, -10.849]",95.02217397159806
sub-004,ses-2,run-02,cathode1,unknown,68.46582772,-79.09659731,5.37780373,"[68.466, -79.097, 5.378]",104.75095247473133
sub-004,ses-2,run-02,cathode2,unknown,72.93961628,-57.44023774,-40.3793273,"[72.940, -57.440, -40.379]",101.24257309996564
sub-004,ses-2,run-02,cathode3,unknown,77.35859574,-29.20014444,2.01120301,"[77.359, -29.200, 2.011]",82.71061423861535
sub-004,ses-3,run-01,anode,unknown,78.0733996,-54.45930011,-9.78551242,"[78.073, -54.459, -9.786]",95.69235782910931
sub-004,ses-3,run-01,cathode1,unknown,70.54156828,-75.42246267,9.8180178,"[70.542, -75.422, 9.818]",103.7355011754923
sub-004,ses-3,run-01,cathode2,unknown,73.73480218,-59.38026613,-38.1436999,"[73.735, -59.380, -38.144]",102.06752128005567
sub-004,ses-3,run-01,cathode3,unknown,79.66414433,-27.61066452,-0.88941268,"[79.664, -27.611, -0.889]",84.31794436525598
sub-004,ses-3,run-02,anode,unknown,78.35681422,-55.07332379,-9.40004837,"[78.357, -55.073, -9.400]",96.23524425772564
sub-004,ses-3,run-02,cathode1,unknown,71.05430504,-75.9252208,10.003581,"[71.054, -75.925, 10.004]",104.46733963813611
sub-004,ses-3,run-02,cathode2,unknown,73.81609419,-59.85740294,-37.71988778,"[73.816, -59.857, -37.720]",102.24731968283699
sub-004,ses-3,run-02,cathode3,unknown,79.90006356,-28.4602938,0.44525628,"[79.900, -28.460, 0.445]",84.81866972093609
sub-004,ses-4,run-01,anode,unknown,78.12704241,-53.38803334,-3.67993412,"[78.127, -53.388, -3.680]",94.69772317629622
sub-004,ses-4,run-01,cathode1,unknown,70.81768716,-74.3590494,15.46190877,"[70.818, -74.359, 15.462]",103.84355379692605
sub-004,ses-4,run-01,cathode2,unknown,74.64624731,-58.46762271,-31.75879768,"[74.646, -58.468, -31.759]",99.99573177343004
sub-004,ses-4,run-01,cathode3,unknown,78.87032017,-26.92191076,7.20280362,"[78.870, -26.922, 7.203]",83.64925022183999
