subject,session,run,project,extracted_mean_x,condition_in_table,n_candidates,condition_separation_mm,recommended,reason,baseline_side_ok,baseline_mean_x,swap
sub-023,ses-2,run-02,P0,-55.83,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-023,ses-3,run-01,P0,-58.78,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-023,ses-3,run-02,P0,-57.47,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-023,ses-4,run-01,P0,-61.18,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-023,ses-4,run-02,P0,-61.08,unknown,2,3.84,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-024,ses-1,run-01,P0,-64.16,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-1,run-02,P0,-63.91,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-2,run-01,P0,-65.18,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-2,run-02,P0,-65.31,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-3,run-01,P0,-65.0,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-3,run-02,P0,-64.55,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-4,run-01,P0,-55.26,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-024,ses-4,run-02,P0,-55.51,target,2,109.8,target,matches the side of the 'target' montage,,,no
sub-025,ses-1,run-01,P0,71.68,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-1,run-02,P0,71.26,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-2,run-01,P0,68.57,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-2,run-02,P0,68.53,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-3,run-01,P0,68.68,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-3,run-02,P0,68.89,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-4,run-01,P0,66.29,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-025,ses-4,run-02,P0,66.32,unknown,2,20.6,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-026,ses-1,run-01,P0,72.27,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-1,run-02,P0,71.77,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-2,run-01,P0,71.99,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-2,run-02,P0,70.94,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-3,run-01,P0,71.04,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-3,run-02,P0,71.15,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-4,run-01,P0,72.39,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-026,ses-4,run-02,P0,72.27,target,2,100.62,target,matches the side of the 'target' montage,,,no
sub-028,ses-1,run-01,P0,49.11,target,2,2.13,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-028,ses-1,run-02,P0,49.18,target,2,2.13,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-028,ses-2,run-01,P0,52.7,target,2,2.13,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-028,ses-2,run-02,P0,52.69,target,2,2.13,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-028,ses-4,run-01,P0,51.67,target,2,2.13,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-028,ses-4,run-02,P0,52.1,target,2,2.13,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-1,run-01,P0,51.81,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-1,run-02,P0,52.68,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-2,run-01,P0,51.44,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-2,run-02,P0,51.13,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-3,run-01,P0,52.87,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-3,run-02,P0,52.49,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-4,run-01,P0,50.42,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-029,ses-4,run-02,P0,50.05,target,2,2.9,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-030,ses-1,run-01,P0,67.6,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-1,run-02,P0,67.86,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-2,run-01,P0,66.14,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-2,run-02,P0,66.11,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-3,run-01,P0,66.94,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-3,run-02,P0,67.72,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-4,run-01,P0,66.62,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-030,ses-4,run-02,P0,66.82,target,2,113.4,target,matches the side of the 'target' montage,,,no
sub-031,ses-1,run-01,P0,51.25,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-1,run-02,P0,51.18,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-2,run-01,P0,50.98,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-2,run-02,P0,51.46,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-3,run-01,P0,56.05,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-3,run-02,P0,56.03,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-4,run-01,P0,52.29,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-031,ses-4,run-02,P0,52.29,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-032,ses-1,run-01,P0,46.57,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-1,run-02,P0,46.47,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-2,run-01,P0,52.49,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-2,run-02,P0,52.6,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-3,run-01,P0,47.94,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-3,run-02,P0,47.83,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-4,run-01,P0,45.16,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-032,ses-4,run-02,P0,45.38,unknown,2,27.02,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-1,run-01,P0,-71.6,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
