index,anode,cathode1,cathode2,cathode3,exp,condition,subject,stim,session,run
P1_target_sub-047,"[82.1212266479054, -47.95981676891879, -4.0212527331218055]","[75.08931133076432, -68.65426169285095, 16.490823783402565]","[77.44960268091499, -53.776491797973314, -33.0539493419125]","[85.24959298955588, -19.439882324553004, 4.5068246769414175]",P1,target,sub-047,sham,ses-baseline,run-baseline
P6_control_sub-6103,"[-65.14668918418518, 20.822145559200766, 22.22067435311546]","[-32.879988541834194, 55.13321779927918, 38.41370610841102]","[-72.52092968982105, 17.852370878691143, -27.068665875609398]","[-70.06972415170614, -20.994497697425643, 49.050857805498545]",P6,control,sub-6103,sham,ses-baseline,run-baseline
P7_control_sub-046,"[50.759658569076926, -42.46380821155598, 77.36876637767095]","[45.681140409733906, -86.35868575155698, 57.389630485593884]","[69.62256081891788, -9.181154304285084, 46.482649471071916]","[10.075329912488334, -25.986273582914222, 99.29299145281408]",P7,control,sub-046,sham,ses-baseline,run-baseline
P4_target_sub-4015,"[-66.51428916313824, 38.46877835031196, 18.429454318215864]","[-37.76030001587794, 73.43989625758623, 37.88028849325279]","[-70.39489626593104, 38.97740208277323, -31.36573565610174]","[-68.13576164284868, -6.011226835881749, 40.96914311704323]",P4,target,sub-4015,sham,ses-baseline,run-baseline
P8_target_sub-2524,"[-60.491915003243584, 51.43727935722924, 69.10541209217818]","[-35.36844009666342, 80.87509392874831, 77.22739694865616]","[-72.03645861367187, 48.13374474406227, 31.530695023098442]","[-56.73782337342578, 17.553882813684535, 89.87103119788199]",P8,target,sub-2524,sham,ses-baseline,run-baseline
P6_target_sub-6121,"[58.8197278524246, -74.71454201418373, -31.06726072954493]","[9.703238872535334, -106.75199496436095, -27.03851016611195]","[59.66697973259373, -34.847231179957724, -74.97326651734012]","[74.80234950210057, -56.3101231166786, 23.25696016651784]",P6,target,sub-6121,sham,ses-baseline,run-baseline
P2_target_sub-2007,"[-34.68323234563085, -78.42064089261737, 4.975284094935755]","[-72.80079811878204, -34.84971781956822, 5.857544436693202]","[-17.177335238577143, -87.50669085047484, -50.90544522656236]","[11.549093603825671, -63.430109212672804, 38.00884189317289]",P2,target,sub-2007,sham,ses-baseline,run-baseline
P7_control_sub-028,"[49.508566999824694, -7.578642513457435, 82.70444585928082]","[55.61401125279666, -56.227353199070464, 76.48561739007307]","[64.48261127707303, 21.00983733057634, 45.247810083197436]","[5.206322811286607, 4.894764013513775, 98.91146949804059]",P7,control,sub-028,sham,ses-baseline,run-baseline
P3_target_sub-060,"[-69.67009670634972, -56.60613173711766, 39.44010022745375]","[-71.05427194324373, -17.224650190620995, 45.0581829275604]","[-75.06874588634754, -70.36729822191668, 2.443522690135179]","[-46.387118109681836, -77.37994179823704, 63.51241771713715]",P3,target,sub-060,sham,ses-baseline,run-baseline
P4_target_sub-4012,"[-70.52489941949878, 34.35300623913278, 42.29586670176461]","[-42.56060890513504, 72.3910351379035, 57.941656155095764]","[-72.39639124750694, 29.07241532069336, -7.227058617309527]","[-68.47354815032028, -8.013108745405868, 68.62194602500679]",P4,target,sub-4012,sham,ses-baseline,run-baseline
P7_control_sub-034,"[44.38880835380806, -6.7375696921754455, 86.61949160257946]","[55.46865648883254, -54.29341369795784, 79.45011148539805]","[62.48688555970787, 25.54534594419172, 53.655146594392605]","[-2.301378280568634, 2.1849038760625277, 99.3871605625987]",P7,control,sub-034,sham,ses-baseline,run-baseline
P6_control_sub-6204,"[-59.764190190743896, 18.10827546508473, 46.37223705019693]","[-33.969118309035, 57.67685808890166, 60.88800288526877]","[-70.08796157668463, 14.744792862712751, -1.9505150168157857]","[-51.90008060944143, -24.80084274624178, 70.04440497527527]",P6,control,sub-6204,sham,ses-baseline,run-baseline
P3_control_sub-035,"[48.63595698841323, -8.327503021520874, 74.55237419241196]","[57.60551125855257, -56.21648582473147, 67.0557617853583]","[65.87045789031357, 23.134149714458914, 40.30034232982578]","[3.770905711974836, 2.427714221588433, 90.48381706982907]",P3,control,sub-035,sham,ses-baseline,run-baseline
P7_control_sub-019,"[49.514173103656184, -39.12034369980645, 75.9999641284701]","[44.39322181837704, -85.65583558149555, 59.96224929078183]","[71.58580771635204, -9.366775737801369, 43.77404614560382]","[7.229596977753998, -19.469022136547853, 91.85776232912039]",P7,control,sub-019,sham,ses-baseline,run-baseline
P3_control_sub-015,"[47.53409463355042, -23.980152587302012, 77.48092025766275]","[49.083154749264985, -71.42775948186947, 64.63364247715812]","[67.16609064966343, 7.488856925523217, 44.54737908876349]","[3.766325971193778, -8.722674998685413, 94.12462885664506]",P3,control,sub-015,sham,ses-baseline,run-baseline
P7_target_sub-093,"[54.732363254126746, 26.803824814642777, 58.35263815531886]","[42.53301259212604, -4.193657710178595, 79.7261719548913]","[73.69966313906946, 18.93505487411465, 24.066880024569148]","[32.62172537163435, 59.50689755593904, 59.61565857343364]",P7,target,sub-093,sham,ses-baseline,run-baseline
P3_control_sub-077,"[56.51830886044818, -33.43839457652075, 59.182771411697665]","[57.57420820333253, -80.06994125289977, 42.67690639556973]","[72.52190829021326, 0.4229013192533584, 27.278360529902848]","[14.119436623839336, -20.10171521618439, 80.15503420183573]",P3,control,sub-077,sham,ses-baseline,run-baseline
P2_control_sub-2024,"[3.8533252301184104, 9.463166638172357, 100.40145941954647]","[-30.9216166520715, -8.011142502423079, 92.63190044388706]","[35.64519606143822, -13.027792867155334, 93.2386318788901]","[6.696381364174956, 48.285541355585295, 91.41233503202332]",P2,control,sub-2024,sham,ses-baseline,run-baseline
