network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
b_no_attention,1275.6,1291.0,1366.5,1076.8,5009.9,0.0855,41.15,42.74,0.0155,115.0,3.68,True,sub-003,ses-1,run-01,[-67.89047518 -53.31131636  46.22278004],[-67.14468885 -65.86413084  11.26747386],[-69.45044856 -14.9174287   49.72898996],[-52.31455288 -71.90325266  75.25278332]
b_no_attention,1277.0,1275.6,1403.9,1128.9,5085.4,0.0766,41.19,42.98,0.018,114.86,3.97,True,sub-003,ses-1,run-02,[-68.33936099 -54.34122474  46.84135546],[-67.24433323 -66.3369739   11.66576548],[-69.67925481 -15.77463223  50.88980574],[-52.86052956 -72.98456746  75.62676968]
b_no_attention,1333.5,1396.6,1494.2,1077.5,5301.8,0.1163,40.68,43.49,0.031,114.99,2.97,True,sub-003,ses-2,run-01,[-67.02876405 -48.41036402  53.27362986],[-68.54663883 -60.4771357   15.94276388],[-65.96799585  -9.51557922  58.30330681],[-49.51906723 -67.8694605   78.99497835]
b_no_attention,1337.2,1387.8,1395.9,1079.7,5200.6,0.0994,40.78,43.52,0.0298,114.86,3.14,True,sub-003,ses-2,run-02,[-66.36084336 -48.69111338  52.97425469],[-68.3530584  -60.65326209  15.60465404],[-64.98450507  -9.85114036  58.07572389],[-48.79585276 -68.31147995  78.66234201]
b_no_attention,1418.6,1208.1,1359.9,1255.8,5242.4,0.0634,40.16,46.03,0.0629,114.08,3.32,True,sub-003,ses-3,run-01,[-66.8590257  -50.07711062  55.49733587],[-67.54831801 -62.52375238  15.86029328],[-67.36707731 -14.07008324  59.70530803],[-48.19061358 -68.50563366  81.10948176]
b_no_attention,1400.3,1267.5,1362.1,1247.0,5276.9,0.0484,39.9,46.21,0.0662,114.17,2.99,True,sub-003,ses-3,run-02,[-67.11384601 -51.36523781  55.7507561 ],[-67.57801671 -63.34618353  15.78969369],[-66.80594318 -15.75264665  61.13084369],[-48.66165087 -70.58713717  81.07025534]
b_no_attention,1282.2,1294.6,1442.1,1099.5,5118.4,0.095,39.47,45.09,0.057,116.16,0.89,True,sub-003,ses-4,run-01,[-67.66162748 -51.3702552   49.9043245 ],[-66.86152014 -66.15682922  12.98729686],[-68.20942087 -10.92535371  54.49933684],[-51.03722575 -69.85484282  75.40348951]
b_no_attention,1282.2,1324.7,1430.3,1109.8,5147.0,0.0898,39.9,44.97,0.051,114.83,1.98,True,sub-003,ses-4,run-02,[-67.97645058 -51.75252271  49.95282011],[-66.98182875 -66.5238189   13.11733085],[-67.91035295 -11.53521478  55.49158815],[-51.54130173 -70.61914601  75.83917616]
b_no_attention,1406.1,1368.7,1441.3,1461.9,5678.1,0.025,36.7,38.47,0.0213,112.22,5.07,True,sub-004,ses-1,run-01,[ 76.40805124 -55.86066193   1.29068223],[ 64.45081758 -82.92273777  19.2171549 ],[ 74.22844389 -56.26919262 -31.76240686],[ 78.10006202 -27.03546755  20.59197639]
b_no_attention,1481.7,1440.6,1472.9,1521.3,5916.5,0.0194,36.98,38.32,0.0148,111.95,5.96,True,sub-004,ses-1,run-02,[ 76.51269735 -55.87743652   1.61891123],[ 64.82080297 -83.20010453  19.29943652],[ 74.06298436 -56.81749343 -31.66082198],[ 78.13811922 -27.81065544  21.06785344]
b_no_attention,1663.6,1583.6,1524.2,1396.6,6168.1,0.0632,31.29,33.32,0.0259,118.37,0.46,True,sub-004,ses-2,run-01,[ 76.64870442 -55.20850475 -11.5655531 ],[ 69.04081803 -78.39873232   4.85204406],[ 73.61186366 -56.67119965 -41.45188649],[ 78.54933144 -29.95235809   0.94073181]
b_no_attention,1775.1,1643.8,1528.6,1639.4,6586.9,0.053,31.91,33.39,0.0197,117.61,0.96,True,sub-004,ses-2,run-02,[ 76.01165033 -56.06512856 -11.0308098 ],[ 68.72990012 -78.95646298   4.86415101],[ 73.01428692 -57.01221061 -41.01229934],[ 77.35930289 -29.13828355   1.920493  ]
b_no_attention,1531.6,1551.4,1527.9,1530.8,6141.7,0.0061,30.75,32.92,0.028,117.38,1.11,True,sub-004,ses-3,run-01,[ 77.79812954 -53.82614377  -9.68293065],[ 70.76614207 -74.83762967   9.05638706],[ 73.73941001 -59.36626988 -38.59360031],[ 79.74924355 -27.6035595   -0.7743698 ]
b_no_attention,1604.9,1549.2,1615.9,1658.5,6428.5,0.0243,30.22,33.48,0.0418,115.5,2.64,True,sub-004,ses-3,run-02,[ 78.13537836 -54.13366766  -8.9187604 ],[ 71.04074761 -75.50543438   9.32530369],[ 73.75678132 -60.04596561 -38.23113541],[ 79.93563939 -28.60682805   0.5433392 ]
b_no_attention,1500.8,1577.0,1519.8,1556.5,6154.1,0.0195,30.99,32.33,0.0187,115.58,2.54,True,sub-004,ses-4,run-01,[ 77.80311062 -53.03952267  -3.81570996],[ 71.18725776 -73.67197633  15.72700995],[ 74.61145319 -58.43086717 -32.17848079],[ 78.92204896 -26.90537218   6.11886287]
b_no_attention,1520.6,1612.2,1489.8,1674.6,6297.2,0.0466,31.64,32.44,0.0102,114.66,3.3,True,sub-004,ses-4,run-02,[ 77.71662536 -53.5177115   -3.90946969],[ 71.4499313  -74.4332826   15.59877065],[ 74.52396643 -58.82848136 -32.16972823],[ 78.43844752 -27.05445806   6.80960994]
b_no_attention,1264.6,1588.8,1432.5,1318.8,5604.7,0.0886,49.27,54.24,0.0392,109.57,3.61,True,sub-005,ses-1,run-01,[58.09233849 13.72933186 61.29661904],[24.56316586 40.49146437 72.71802471],[ 52.29535811 -32.34176952  76.82273253],[69.16381747 20.81945037 16.4816326 ]
b_no_attention,1235.2,1600.5,1428.1,1323.2,5587.1,0.0974,49.02,54.2,0.041,109.11,3.86,True,sub-005,ses-1,run-02,[57.64759324 13.49957404 61.07205245],[24.22878913 40.18722872 72.12599357],[ 51.85858651 -32.53138807  76.61800285],[68.74575499 20.69247542 16.37290943]
b_no_attention,1368.0,1483.2,1382.7,1513.2,5747.0,0.0435,40.8,42.73,0.019,113.97,0.83,True,sub-005,ses-2,run-01,[53.72402046 15.45334137 66.1106994 ],[28.27718686 43.41310726 68.36247631],[ 44.6134583  -15.6844      83.53605745],[69.26514562 11.2505735  31.08065628]
b_no_attention,1378.3,1489.8,1383.4,1566.8,5818.2,0.054,41.03,42.79,0.0182,114.2,0.63,True,sub-005,ses-2,run-02,[54.30068824 14.81005479 66.74783732],[29.24845856 42.36391441 68.91515891],[ 45.16542763 -16.67689598  83.97529117],[70.00473862 10.47050773 31.74751893]
b_no_attention,1357.0,1405.4,1275.6,1604.2,5642.1,0.0858,41.64,45.47,0.0377,113.4,2.64,True,sub-005,ses-3,run-01,[61.33622492  7.04048292 60.08774644],[38.90148061 37.29891229 67.56396587],[ 53.30876752 -26.14387123  75.80223109],[72.58085204  4.45046932 20.70034182]
b_no_attention,1304.9,1337.9,1236.7,1658.5,5538.0,0.1172,41.26,45.65,0.0426,112.12,3.17,True,sub-005,ses-3,run-02,[60.64137396  5.765788   61.53187868],[38.10222092 35.86535995 69.29753572],[ 52.86832031 -27.49263792  76.37450729],[71.79158574  4.58591873 21.88600726]
b_no_attention,1390.7,1438.4,1343.8,1682.7,5855.6,0.0893,40.56,43.81,0.0326,114.72,0.57,True,sub-005,ses-4,run-01,[55.50930206  7.75693162 67.79084625],[29.6930479  33.40028894 76.41744365],[ 47.87084215 -28.64978263  81.21628349],[69.19285346  9.86175814 33.90964965]
