Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
6534.0,sub-062,ses-3,run-01,P3,Cathode2,Sophie,half-automated,X,-70.71,
13170.0,sub-062,ses-3,run-01,P3,Cathode2,Sophie,half-automated,Y,-51.86,
19806.0,sub-062,ses-3,run-01,P3,Cathode2,Sophie,half-automated,Z,3.27,
6538.0,sub-062,ses-3,run-01,P3,Cathode3,Sophie,half-automated,X,-50.21,2023-10-22
13174.0,sub-062,ses-3,run-01,P3,Cathode3,Sophie,half-automated,Y,-56.85,2023-10-22
19810.0,sub-062,ses-3,run-01,P3,Cathode3,Sophie,half-automated,Z,62.74,2023-10-22
6527.0,sub-062,ses-3,run-01,P3,Anode,Sophie,manually,X,-78.0,2023-10-22
13163.0,sub-062,ses-3,run-01,P3,Anode,Sophie,manually,Y,-42.0,2023-10-22
19799.0,sub-062,ses-3,run-01,P3,Anode,Sophie,manually,Z,42.0,2023-10-22
6531.0,sub-062,ses-3,run-01,P3,Cathode1,Sophie,manually,X,-73.0,
13167.0,sub-062,ses-3,run-01,P3,Cathode1,Sophie,manually,Y,-2.0,
19803.0,sub-062,ses-3,run-01,P3,Cathode1,Sophie,manually,Z,44.0,
6535.0,sub-062,ses-3,run-01,P3,Cathode2,Sophie,manually,X,-80.0,
13171.0,sub-062,ses-3,run-01,P3,Cathode2,Sophie,manually,Y,-56.0,
19807.0,sub-062,ses-3,run-01,P3,Cathode2,Sophie,manually,Z,6.0,
6539.0,sub-062,ses-3,run-01,P3,Cathode3,Sophie,manually,X,-57.0,
13175.0,sub-062,ses-3,run-01,P3,Cathode3,Sophie,manually,Y,-61.0,
19811.0,sub-062,ses-3,run-01,P3,Cathode3,Sophie,manually,Z,67.0,
6540.0,sub-062,ses-3,run-02,P3,Anode,Kira,half-automated,X,-68.64,2023-10-22
13176.0,sub-062,ses-3,run-02,P3,Anode,Kira,half-automated,Y,-40.34,2023-10-22
19812.0,sub-062,ses-3,run-02,P3,Anode,Kira,half-automated,Z,38.25,2023-10-22
6544.0,sub-062,ses-3,run-02,P3,Cathode1,Kira,half-automated,X,-62.71,
13180.0,sub-062,ses-3,run-02,P3,Cathode1,Kira,half-automated,Y,-2.32,
19816.0,sub-062,ses-3,run-02,P3,Cathode1,Kira,half-automated,Z,40.17,
6548.0,sub-062,ses-3,run-02,P3,Cathode2,Kira,half-automated,X,-69.79,2023-10-22
13184.0,sub-062,ses-3,run-02,P3,Cathode2,Kira,half-automated,Y,-52.73,2023-10-22
19820.0,sub-062,ses-3,run-02,P3,Cathode2,Kira,half-automated,Z,4.18,2023-10-22
6552.0,sub-062,ses-3,run-02,P3,Cathode3,Kira,half-automated,X,-49.29,
13188.0,sub-062,ses-3,run-02,P3,Cathode3,Kira,half-automated,Y,-58.64,
19824.0,sub-062,ses-3,run-02,P3,Cathode3,Kira,half-automated,Z,62.77,
6541.0,sub-062,ses-3,run-02,P3,Anode,Kira,manually,X,-78.0,2023-10-22
13177.0,sub-062,ses-3,run-02,P3,Anode,Kira,manually,Y,-42.0,2023-10-22
19813.0,sub-062,ses-3,run-02,P3,Anode,Kira,manually,Z,42.0,2023-10-22
6545.0,sub-062,ses-3,run-02,P3,Cathode1,Kira,manually,X,-73.0,
13181.0,sub-062,ses-3,run-02,P3,Cathode1,Kira,manually,Y,-1.0,
19817.0,sub-062,ses-3,run-02,P3,Cathode1,Kira,manually,Z,44.0,
6549.0,sub-062,ses-3,run-02,P3,Cathode2,Kira,manually,X,-80.0,
13185.0,sub-062,ses-3,run-02,P3,Cathode2,Kira,manually,Y,-55.0,
19821.0,sub-062,ses-3,run-02,P3,Cathode2,Kira,manually,Z,7.0,
6553.0,sub-062,ses-3,run-02,P3,Cathode3,Kira,manually,X,-56.0,
13189.0,sub-062,ses-3,run-02,P3,Cathode3,Kira,manually,Y,-60.0,
19825.0,sub-062,ses-3,run-02,P3,Cathode3,Kira,manually,Z,67.0,
6542.0,sub-062,ses-3,run-02,P3,Anode,Sophie,half-automated,X,-68.63,2023-10-22
13178.0,sub-062,ses-3,run-02,P3,Anode,Sophie,half-automated,Y,-39.41,2023-10-22
19814.0,sub-062,ses-3,run-02,P3,Anode,Sophie,half-automated,Z,40.04,2023-10-22
6546.0,sub-062,ses-3,run-02,P3,Cathode1,Sophie,half-automated,X,-62.72,
13182.0,sub-062,ses-3,run-02,P3,Cathode1,Sophie,half-automated,Y,-2.34,
19818.0,sub-062,ses-3,run-02,P3,Cathode1,Sophie,half-automated,Z,39.27,
6550.0,sub-062,ses-3,run-02,P3,Cathode2,Sophie,half-automated,X,-69.81,
13186.0,sub-062,ses-3,run-02,P3,Cathode2,Sophie,half-automated,Y,-51.85,
19822.0,sub-062,ses-3,run-02,P3,Cathode2,Sophie,half-automated,Z,3.26,
6554.0,sub-062,ses-3,run-02,P3,Cathode3,Sophie,half-automated,X,-49.3,2023-10-22
13190.0,sub-062,ses-3,run-02,P3,Cathode3,Sophie,half-automated,Y,-57.74,2023-10-22
19826.0,sub-062,ses-3,run-02,P3,Cathode3,Sophie,half-automated,Z,62.75,2023-10-22
6543.0,sub-062,ses-3,run-02,P3,Anode,Sophie,manually,X,-78.0,2023-10-22
13179.0,sub-062,ses-3,run-02,P3,Anode,Sophie,manually,Y,-44.0,2023-10-22
19815.0,sub-062,ses-3,run-02,P3,Anode,Sophie,manually,Z,42.0,2023-10-22
6547.0,sub-062,ses-3,run-02,P3,Cathode1,Sophie,manually,X,-72.0,
13183.0,sub-062,ses-3,run-02,P3,Cathode1,Sophie,manually,Y,-2.0,
19819.0,sub-062,ses-3,run-02,P3,Cathode1,Sophie,manually,Z,46.0,
6551.0,sub-062,ses-3,run-02,P3,Cathode2,Sophie,manually,X,-80.0,
13187.0,sub-062,ses-3,run-02,P3,Cathode2,Sophie,manually,Y,-56.0,
