network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
a_baseline,1461.9,1731.8,1502.2,1436.2,6132.1,0.0764,31.38,32.88,0.0191,118.33,0.33,True,sub-004,ses-3,run-01,[ 78.0733996  -54.45930011  -9.78551242],[ 70.54156828 -75.42246267   9.8180178 ],[ 73.73480218 -59.38026613 -38.1436999 ],[ 79.66414433 -27.61066452  -0.88941268]
a_baseline,1385.6,1767.0,1512.5,1568.2,6233.3,0.0882,31.48,32.58,0.0142,116.68,1.41,True,sub-004,ses-3,run-02,[ 78.35681422 -55.07332379  -9.40004837],[ 71.05430504 -75.9252208   10.003581  ],[ 73.81609419 -59.85740294 -37.71988778],[ 79.90006356 -28.4602938    0.44525628]
a_baseline,1487.6,1620.3,1561.6,1378.3,6047.8,0.0598,31.71,32.48,0.0106,114.81,3.16,True,sub-004,ses-4,run-01,[ 78.12704241 -53.38803334  -3.67993412],[ 70.81768716 -74.3590494   15.46190877],[ 74.64624731 -58.46762271 -31.75879768],[ 78.87032017 -26.92191076   7.20280362]
a_baseline,1520.6,1698.1,1547.0,1388.5,6154.1,0.0715,31.58,32.52,0.0123,113.96,3.67,True,sub-004,ses-4,run-02,[ 77.8991697  -53.95552372  -3.84353378],[ 71.20280426 -74.98635568  15.50720503],[ 74.56563764 -58.84752327 -31.72936723],[ 78.40778863 -27.16247089   7.52226119]
a_baseline,1387.8,1558.0,1411.3,1123.0,5480.0,0.1145,49.71,54.01,0.0339,109.86,2.99,True,sub-005,ses-1,run-01,[57.89077707 13.24079907 61.60753437],[24.12293665 40.3708481  73.02946232],[ 52.51945169 -32.9240864   76.36192285],[69.34053592 20.13535452 16.48109383]
a_baseline,1362.9,1518.4,1379.0,1127.4,5387.6,0.1042,49.65,54.26,0.0363,110.03,2.93,True,sub-005,ses-1,run-02,[57.45761236 13.17517437 61.3049247 ],[23.56553785 40.11265018 72.58810124],[ 51.94186558 -33.10549794  76.38536169],[68.97280883 19.85393776 16.2793794 ]
a_baseline,1317.4,1367.3,1321.0,1280.0,5285.7,0.0234,41.28,41.88,0.0062,113.81,1.36,True,sub-005,ses-2,run-01,[53.7130352  15.16584913 66.10221242],[28.36022937 43.0279747  68.65813333],[ 44.64051002 -16.25026322  83.96209208],[68.96656186 11.632708   31.84634595]
a_baseline,1296.1,1365.1,1269.7,1324.0,5254.8,0.0269,41.27,41.83,0.0062,113.67,1.46,True,sub-005,ses-2,run-02,[54.33959644 14.34335973 66.82954465],[28.97145919 42.11917673 69.43595802],[ 45.08657589 -17.14885579  84.4434202 ],[69.64784617 11.0305172  32.50617976]
a_baseline,1291.7,1395.1,1323.2,1385.6,5395.7,0.0319,41.72,45.27,0.0353,113.03,3.89,True,sub-005,ses-3,run-01,[61.23660931  6.64081954 60.25753176],[39.13023863 37.13167895 67.30347198],[ 53.73264427 -26.96945628  75.49361426],[73.14522733  4.19917433 21.25432611]
a_baseline,1259.4,1376.8,1301.2,1331.3,5268.8,0.0325,41.76,44.76,0.0298,112.81,3.35,True,sub-005,ses-3,run-02,[60.70371963  5.49281571 61.34167555],[38.35043458 35.53897753 69.2071084 ],[ 53.21205419 -28.3560615   76.15327747],[72.29301012  4.32230708 22.66486629]
a_baseline,1376.1,1346.7,1296.8,1420.8,5440.4,0.0331,40.51,44.41,0.0387,114.74,1.03,True,sub-005,ses-4,run-01,[55.48739298  7.65514133 67.87860682],[29.56428192 33.39273422 76.65944634],[ 47.82895477 -29.26801273  81.47364395],[69.12541399 10.42050308 34.07356466]
a_baseline,1187.5,1293.9,1138.4,1376.1,4995.9,0.074,40.35,44.73,0.045,114.4,1.18,True,sub-005,ses-4,run-02,[55.83599461  5.85841156 70.33868979],[30.12887608 31.07035308 79.4761558 ],[ 48.07248951 -31.503821    83.53771369],[69.32638395  9.11884741 36.67248133]
a_baseline,1588.8,1725.9,1701.7,1582.2,6598.6,0.0393,35.75,37.17,0.0176,116.78,0.87,True,sub-006,ses-1,run-01,[ 70.04923922 -68.2062245    1.5662476 ],[ 56.02099937 -82.07046172 -23.95325394],[ 64.09866609 -82.09479157  31.52702387],[ 7.62323037e+01 -3.64363497e+01 -2.49032452e-02]
a_baseline,1609.3,1742.1,1611.5,1609.3,6572.2,0.0348,36.07,37.25,0.0149,116.27,1.25,True,sub-006,ses-1,run-02,[ 70.21452622 -68.71780973   1.4992752 ],[ 55.95652282 -82.55481247 -24.3329479 ],[ 64.19009185 -83.05156931  31.31168374],[ 76.33480183 -36.76910315   0.11757958]
a_baseline,1659.9,1670.9,1471.4,1706.1,6508.4,0.0562,29.88,34.66,0.0659,115.87,1.81,True,sub-006,ses-2,run-01,[ 71.44172778 -66.46519346   6.08190702],[ 62.64392771 -85.26375468  24.40493291],[ 63.62788104 -69.04197328 -24.09947415],[ 77.14740793 -42.07096959  16.07553074]
a_baseline,1683.4,1675.3,1500.8,1693.7,6553.2,0.0486,29.86,34.82,0.0691,116.45,1.29,True,sub-006,ses-2,run-02,[ 71.43224561 -66.6086599    5.99974775],[ 62.67620336 -85.54065015  24.01924862],[ 63.29030149 -69.34347633 -24.22815186],[ 77.01460623 -42.20838063  15.99341954]
a_baseline,1412.0,1442.8,1446.5,1772.9,6074.2,0.0971,30.82,32.81,0.0286,117.52,0.57,True,sub-006,ses-3,run-01,[ 71.67503442 -65.26070506   5.81322115],[ 63.23824342 -72.13195612 -21.72429652],[ 63.77578662 -83.14713587  27.96486997],[ 76.75604658 -38.61506938  12.00167485]
a_baseline,1352.6,1453.8,1461.1,1728.9,5996.4,0.093,31.01,33.07,0.0276,117.61,0.48,True,sub-006,ses-3,run-02,[ 71.62650713 -65.2127798    5.9406305 ],[ 63.26625093 -72.2904574  -21.42634248],[ 63.84994682 -83.7244213   28.02961236],[ 76.22887033 -38.27347262  11.99301744]
a_baseline,1514.7,1478.0,1337.9,1632.1,5962.7,0.0704,31.47,33.81,0.0309,116.8,2.34,True,sub-006,ses-4,run-01,[ 71.15460007 -66.40518847   8.31600392],[ 59.63517612 -89.0374494   25.23092217],[ 67.25660436 -65.20921168 -21.52231062],[ 76.66406341 -41.85711389  21.50223909]
a_baseline,1528.6,1488.3,1376.1,1805.2,6198.1,0.1018,31.2,33.75,0.0338,115.74,2.71,True,sub-006,ses-4,run-02,[ 71.75741274 -67.61587307   8.3636576 ],[ 60.03646316 -90.14126594  25.17979033],[ 67.83952141 -66.10655345 -21.35822833],[ 77.08485582 -43.61288734  22.09111985]
a_baseline,1711.3,1508.1,1537.4,2100.8,6857.6,0.1378,36.67,38.17,0.0166,114.31,1.63,True,sub-007,ses-1,run-01,[-60.68119878 -32.30604975  61.64693879],[-64.07914019 -51.62722847  34.36972229],[-61.24521814   1.54165847  55.21434021],[-40.80766524 -43.00923502  85.82108363]
a_baseline,1648.9,1488.3,1481.7,2139.6,6758.5,0.1588,36.09,38.01,0.0213,114.28,1.81,True,sub-007,ses-1,run-02,[-60.84007322 -33.15883484  62.18044427],[-64.2603288  -52.05469093  34.57276151],[-61.25557916   0.64045777  56.28566584],[-41.28060818 -43.64831025  85.98752116]
a_baseline,1503.0,1563.8,1580.0,1498.6,6145.3,0.0235,40.24,44.18,0.0381,112.34,2.57,True,sub-007,ses-2,run-01,[-62.99333559 -41.50303372  52.53392135],[-63.12184988  -1.6252692   52.02442829],[-62.16800584 -59.49607638  18.72990686],[-42.80725073 -58.27593736  77.60672123]
