network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
c_reduced,1657.0,1640.1,1369.5,1556.5,6223.1,0.0733,32.15,33.51,0.0181,114.29,3.27,True,sub-018,ses-3,run-02,[ 76.54175839 -56.6650086  -15.6431641 ],[ 69.04375355 -79.06283927   3.2425696 ],[ 70.72685346 -57.85966588 -45.10866477],[ 79.14742584 -29.76380303  -5.07175428]
c_reduced,1571.9,1459.7,1471.4,1481.7,5984.7,0.0297,31.03,34.79,0.0511,113.59,3.97,True,sub-018,ses-4,run-01,[ 76.01990925 -59.07955381  -0.65687973],[ 66.34076266 -79.94279551  16.16987508],[ 73.44080986 -59.59441071 -31.95473434],[ 79.46987807 -33.357767     9.88168855]
c_reduced,1650.4,1530.1,1602.0,1527.9,6310.4,0.0327,31.1,34.88,0.0508,114.96,3.27,True,sub-018,ses-4,run-02,[ 76.00475179 -59.99358984  -0.33411963],[ 66.56760652 -81.31735148  16.26235631],[ 73.21114185 -60.15641738 -31.69589969],[ 79.36148738 -34.58861636  11.12658661]
c_reduced,1715.7,1571.2,1076.1,1058.5,5421.4,0.2159,36.98,38.92,0.0213,116.27,1.99,True,sub-020,ses-2,run-01,[ 78.95489174 -44.87619613  -9.06034223],[ 73.88591946 -67.42713279  15.82657961],[ 72.33026068 -53.0358062  -42.58348201],[ 7.99144616e+01 -1.27775261e+01  5.75881744e-02]
c_reduced,1795.6,1672.4,1098.1,1010.0,5576.1,0.2469,37.47,38.87,0.015,116.98,1.38,True,sub-020,ses-2,run-02,[ 79.04895259 -45.64742935  -8.76047455],[ 73.96292961 -68.74100222  16.24835809],[ 72.35012165 -53.96396067 -42.18566461],[ 79.58409727 -13.06384391   0.31754754]
c_reduced,1707.6,1673.9,1236.0,1259.4,5876.9,0.1511,31.56,33.44,0.027,116.34,2.08,True,sub-020,ses-3,run-01,[ 77.73377517 -47.30594935 -11.67168054],[ 74.19531176 -66.21017373  11.59197495],[ 70.7219986  -56.22705365 -39.6434745 ],[ 80.35466014 -19.68252723  -5.22125399]
c_reduced,1658.5,1651.9,1140.6,1258.0,5708.9,0.1623,31.33,33.62,0.0321,118.26,1.08,True,sub-020,ses-3,run-02,[ 77.89977191 -47.49788804 -10.64079081],[ 74.47320993 -66.9358968   12.27193355],[ 70.66697595 -56.65328137 -38.65692202],[ 80.22356487 -19.96250728  -4.60545916]
c_reduced,1693.7,1588.0,1412.0,1608.6,6302.3,0.065,31.86,35.12,0.0445,115.28,3.34,True,sub-020,ses-4,run-01,[ 76.2965     -57.40425539  -2.34212846],[ 68.86864379 -77.25008669  17.08726265],[ 71.83442626 -60.96274268 -33.52697173],[ 80.14772401 -30.04333745   6.59116329]
c_reduced,1693.7,1556.5,1460.4,1505.9,6216.5,0.0563,32.09,35.03,0.0419,115.41,3.84,True,sub-020,ses-4,run-02,[ 76.55562015 -58.37171425  -2.06183805],[ 69.22784184 -78.42837413  17.50148198],[ 72.20585023 -61.39952807 -33.23932355],[ 80.26325146 -31.23610574   7.39344511]
c_reduced,1428.1,1540.4,1471.4,1370.9,5810.8,0.0426,31.43,33.19,0.0259,118.54,0.11,True,sub-021,ses-1,run-01,[ 74.12690865 -65.40569799  -1.98077686],[ 64.0380319  -85.00101827  15.88313476],[ 69.93264264 -69.15219393 -31.4129828 ],[ 78.75528253 -39.1847772    7.82129517]
c_reduced,1474.3,1574.8,1521.3,1384.1,5954.6,0.0471,31.46,33.08,0.0228,117.85,0.68,True,sub-021,ses-1,run-02,[ 74.37249304 -65.9878866   -1.40211252],[ 64.29513648 -85.81538784  16.2384158 ],[ 70.2467282  -68.98572459 -30.82965303],[ 78.9253566  -39.84404425   9.1230576 ]
c_reduced,1574.1,1625.5,1359.2,1531.6,6090.3,0.0657,31.23,34.42,0.0398,111.33,5.35,True,sub-021,ses-2,run-01,[ 72.44765497 -67.75085178   2.21715294],[ 61.57255557 -86.6629182   21.98392441],[ 69.00829451 -71.45826941 -28.44014057],[ 77.67557337 -42.61871359  13.87464963]
c_reduced,1565.3,1560.9,1323.2,1317.4,5766.8,0.0842,30.1,34.22,0.0525,110.29,6.13,True,sub-021,ses-2,run-02,[ 72.15780905 -68.38847672   2.36893843],[ 61.19042274 -87.5109358   21.95413693],[ 68.87152418 -72.28056501 -28.09948729],[ 76.9023695  -44.41670152  14.25128222]
c_reduced,1571.9,1682.7,1416.4,1318.1,5989.1,0.0936,30.97,32.96,0.028,115.55,4.86,True,sub-021,ses-3,run-01,[ 74.42097586 -63.14197011  -0.88249014],[ 66.37533894 -80.20557736  21.93032762],[ 69.84250838 -69.10248447 -29.67190325],[ 79.7054632  -36.37008849   5.19557082]
c_reduced,1591.0,1669.5,1403.9,1333.5,5997.9,0.0907,30.95,33.05,0.0298,115.8,3.92,True,sub-021,ses-3,run-02,[ 74.73702594 -63.73703929  -0.79752862],[ 66.50953499 -81.30082374  21.71721357],[ 70.21953423 -69.9020586  -29.64162528],[ 79.65590049 -37.03329381   5.78539396]
c_reduced,1609.3,1481.0,1624.7,1573.4,6288.4,0.0355,30.65,33.69,0.0434,111.3,5.66,True,sub-021,ses-4,run-01,[ 72.21826873 -68.59843149  -4.0101904 ],[ 62.37897686 -85.7387632  -27.02993698],[ 68.79219609 -75.46941856  25.42088563],[ 77.42823586 -41.64978468  -7.49622959]
c_reduced,1859.4,1676.1,1842.6,1610.0,6988.1,0.0611,31.1,33.54,0.0339,111.37,5.68,True,sub-021,ses-4,run-02,[ 72.17915123 -69.91279065  -3.91277216],[ 62.35931446 -86.96258794 -26.91594325],[ 68.85560898 -76.67681333  25.21952332],[ 77.53691746 -42.59621023  -7.52244846]
c_reduced,1730.3,1694.4,1814.7,1728.1,6967.6,0.0255,31.26,32.92,0.0224,114.8,3.53,True,sub-022,ses-1,run-01,[ 78.5724834  -56.4739816    6.74542277],[ 69.14947986 -79.32254465  22.76609812],[ 75.86468594 -54.96768427 -22.81514632],[ 81.80421042 -32.43616313  21.17635286]
c_reduced,1834.5,1743.5,1886.6,1754.5,7219.2,0.0326,31.56,32.78,0.0159,113.78,4.39,True,sub-022,ses-1,run-02,[ 78.67740856 -57.08689182   6.71577875],[ 69.65201802 -79.73386211  22.91319191],[ 75.94904562 -55.36113231 -22.69570144],[ 81.74777214 -32.91498201  21.47693488]
c_reduced,1560.9,1565.3,1492.7,1449.4,6068.3,0.032,30.97,32.54,0.0201,114.78,4.3,True,sub-022,ses-2,run-01,[ 76.90138653 -61.2270661    6.42128807],[ 68.47160889 -80.61499632  25.8476241 ],[ 72.49841589 -63.398958   -22.53543056],[ 82.28468352 -35.35564667  15.54281882]
