,Electrode,run,Session,Subject,Dimension,Coordinates,Experiment,date,Electrode-Dimension,Session-run,Experiment-Session_run,Experiment-Session,Dimension-Session,Dimension-Experiment
107,Cathode3,run-01,ses-3,sub-058,X,62.59788531297818,P7,2024-03-10,Cathode3-X,ses-3-run-01,P7-ses-3-run-01,P7-ses-3,X-ses-3,X-P7
108,Anode,run-02,ses-3,sub-058,X,45.57481320016086,P7,2024-03-10,Anode-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
109,Cathode1,run-02,ses-3,sub-058,X,33.30290854116902,P7,2024-03-10,Cathode1-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
110,Cathode2,run-02,ses-3,sub-058,X,21.051192820072174,P7,2024-03-10,Cathode2-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
111,Cathode3,run-02,ses-3,sub-058,X,62.604057169985026,P7,2024-03-10,Cathode3-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
112,Anode,run-01,ses-4,sub-011,X,40.66041562426835,P7,2023-09-28,Anode-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
113,Cathode1,run-01,ses-4,sub-011,X,36.30487014679238,P7,2023-09-28,Cathode1-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
114,Cathode2,run-01,ses-4,sub-011,X,12.457444430794567,P7,2023-09-28,Cathode2-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
115,Cathode3,run-01,ses-4,sub-011,X,60.33412585221231,P7,2023-09-28,Cathode3-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
116,Anode,run-02,ses-4,sub-011,X,40.6831445870921,P7,2023-09-28,Anode-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
117,Cathode1,run-02,ses-4,sub-011,X,37.18185011064634,P7,2023-09-28,Cathode1-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
118,Cathode2,run-02,ses-4,sub-011,X,12.437954041175544,P7,2023-09-28,Cathode2-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
119,Cathode3,run-02,ses-4,sub-011,X,60.31139688938856,P7,2023-09-28,Cathode3-X,ses-4-run-02,P7-ses-4-run-02,P7-ses-4,X-ses-4,X-P7
120,Anode,run-01,ses-2,sub-011,X,50.37544106552377,P7,2023-09-07,Anode-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
121,Cathode1,run-01,ses-2,sub-011,X,44.249683843925595,P7,2023-09-07,Cathode1-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
