,Subject,Experiment,Electrode,run,Session,Dimension,Coordinate difference in mm,date
209,sub-002,P1,Cathode3,run-02,ses-2,Z,24.304961636066437,2023-08-24
210,sub-002,P1,Cathode3,run-02,ses-3,X,20.82610159985721,2023-11-29
211,sub-002,P1,Cathode3,run-02,ses-3,Y,56.85484478421509,2023-11-29
212,sub-002,P1,Cathode3,run-02,ses-3,Z,23.244423597455025,2023-11-29
219,sub-003,P3,Anode,run-01,ses-1,X,0.8523805859824591,2023-06-07
220,sub-003,P3,Anode,run-01,ses-1,Y,6.662549451887607,2023-06-07
221,sub-003,P3,Anode,run-01,ses-1,Z,4.326153903789816,2023-06-07
222,sub-003,P3,Anode,run-01,ses-2,X,0.9033629136485928,2023-08-23
223,sub-003,P3,Anode,run-01,ses-2,Y,9.465888456404208,2023-08-23
224,sub-003,P3,Anode,run-01,ses-2,Z,0.05778846103697788,2023-08-23
225,sub-003,P3,Anode,run-01,ses-3,X,0.9010423424094967,2023-10-25
226,sub-003,P3,Anode,run-01,ses-3,Y,8.945201129615306,2023-10-25
227,sub-003,P3,Anode,run-01,ses-3,Z,2.597033454515042,2023-10-25
231,sub-003,P3,Anode,run-02,ses-1,X,0.12358913732693111,2023-06-07
232,sub-003,P3,Anode,run-02,ses-1,Y,1.708072745203971,2023-06-07
233,sub-003,P3,Anode,run-02,ses-1,Z,2.5880714883655287,2023-06-07
234,sub-003,P3,Anode,run-02,ses-2,X,0.0162226026970842,2023-08-23
235,sub-003,P3,Anode,run-02,ses-2,Y,10.180985533595084,2023-08-23
236,sub-003,P3,Anode,run-02,ses-2,Z,1.0106842587143205,2023-08-23
237,sub-003,P3,Anode,run-02,ses-3,X,0.9296224864572338,2023-10-25
238,sub-003,P3,Anode,run-02,ses-3,Y,7.177390308082103,2023-10-25
239,sub-003,P3,Anode,run-02,ses-3,Z,2.2308901980891847,2023-10-25
246,sub-003,P3,Cathode1,run-01,ses-1,X,19.682429229649713,2023-06-07
247,sub-003,P3,Cathode1,run-01,ses-1,Y,51.993712268173695,2023-06-07
248,sub-003,P3,Cathode1,run-01,ses-1,Z,18.679307040311393,2023-06-07
