,X,Y,Z,Electrode,run,Session,Subject
sub-058_ses-1_run-01_Cathode3,64.51673260517418,22.592789021786302,37.031505088321865,Cathode3,run-01,ses-1,sub-058
sub-058_ses-1_run-02_Anode,45.71762534463778,25.50366071704775,68.5676800031215,Anode,run-02,ses-1,sub-058
sub-058_ses-1_run-02_Cathode1,31.644504939671606,-4.123277476988733,86.9460338074714,Cathode1,run-02,ses-1,sub-058
sub-058_ses-1_run-02_Cathode2,23.855373362079263,57.15032219979912,70.98653441853821,Cathode2,run-02,ses-1,sub-058
sub-058_ses-1_run-02_Cathode3,63.63886759150773,20.90798411425203,38.96045578829944,Cathode3,run-02,ses-1,sub-058
sub-058_ses-3_run-01_Anode,46.46860102657229,39.486693899612874,61.267110778950155,Anode,run-01,ses-3,sub-058
sub-058_ses-3_run-01_Cathode1,33.28698572842404,12.879590449854732,83.95894258096814,Cathode1,run-01,ses-3,sub-058
sub-058_ses-3_run-01_Cathode2,20.1322243954055,67.36826491635293,62.150888008996844,Cathode2,run-01,ses-3,sub-058
sub-058_ses-3_run-01_Cathode3,62.59788531297818,33.97499470086768,31.72914680186659,Cathode3,run-01,ses-3,sub-058
sub-058_ses-3_run-02_Anode,45.57481320016086,39.603107382543385,63.07199961133301,Anode,run-02,ses-3,sub-058
sub-058_ses-3_run-02_Cathode1,33.30290854116902,11.078372059389949,84.08300444856286,Cathode1,run-02,ses-3,sub-058
sub-058_ses-3_run-02_Cathode2,21.051192820072174,65.63681331789121,63.171972314827144,Cathode2,run-02,ses-3,sub-058
sub-058_ses-3_run-02_Cathode3,62.604057169985026,34.099114884156734,33.53042098227888,Cathode3,run-02,ses-3,sub-058
sub-011_ses-4_run-01_Anode,40.66041562426835,31.100997641682625,63.02412788104266,Anode,run-01,ses-4,sub-011
sub-011_ses-4_run-01_Cathode1,36.30487014679238,-0.12060267105698586,82.25091398321092,Cathode1,run-01,ses-4,sub-011
sub-011_ses-4_run-01_Cathode2,12.457444430794567,55.188480127602816,60.66063966136426,Cathode2,run-01,ses-4,sub-011
sub-011_ses-4_run-01_Cathode3,60.33412585221231,27.947781715542078,36.01737484196201,Cathode3,run-01,ses-4,sub-011
sub-011_ses-4_run-02_Anode,40.6831445870921,32.00159694254398,62.96571238618344,Anode,run-02,ses-4,sub-011
sub-011_ses-4_run-02_Cathode1,37.18185011064634,-1.0440223757177591,82.30757325817831,Cathode1,run-02,ses-4,sub-011
sub-011_ses-4_run-02_Cathode2,12.437954041175544,54.34623308479786,61.619939546100795,Cathode2,run-02,ses-4,sub-011
sub-011_ses-4_run-02_Cathode3,60.31139688938856,27.04718241468072,36.07579033682123,Cathode3,run-02,ses-4,sub-011
sub-011_ses-2_run-01_Anode,50.37544106552377,24.137312287464738,57.10752719710581,Anode,run-01,ses-2,sub-011
sub-011_ses-2_run-01_Cathode1,44.249683843925595,-6.0213434007018805,78.08117902395315,Cathode1,run-01,ses-2,sub-011
sub-011_ses-2_run-01_Cathode2,26.732665297109634,50.203652646392584,59.12284883763641,Cathode2,run-01,ses-2,sub-011
sub-011_ses-2_run-01_Cathode3,69.12353378115222,20.540098700672388,22.895455258898437,Cathode3,run-01,ses-2,sub-011
sub-011_ses-2_run-02_Anode,51.291401808615774,24.898386668413877,55.24558670260012,Anode,run-02,ses-2,sub-011
sub-011_ses-2_run-02_Cathode1,43.37270388007164,-5.097923696041107,78.02451974898577,Cathode1,run-02,ses-2,sub-011
sub-011_ses-2_run-02_Cathode2,25.85568533325568,51.12707235105336,59.066189562669024,Cathode2,run-02,ses-2,sub-011
sub-011_ses-2_run-02_Cathode3,68.24655381729826,21.46351840533316,22.83879598393105,Cathode3,run-02,ses-2,sub-011
sub-011_ses-1_run-01_Anode,48.70915841590613,29.528196642175317,55.85966227785684,Anode,run-01,ses-1,sub-011
sub-011_ses-1_run-01_Cathode1,42.6061301571317,0.2701402548700571,76.77489860984497,Cathode1,run-01,ses-1,sub-011
sub-011_ses-1_run-01_Cathode2,25.956375854555517,55.39665982313454,55.17057452886365,Cathode2,run-01,ses-1,sub-011
sub-011_ses-1_run-01_Cathode3,64.7743172175251,26.291205557063222,26.15728094871156,Cathode3,run-01,ses-1,sub-011
sub-011_ses-1_run-02_Anode,48.68966802628711,28.68594959937036,56.81896216259338,Anode,run-02,ses-1,sub-011
sub-011_ses-1_run-02_Cathode1,42.6061301571317,0.2701402548700571,76.77489860984497,Cathode1,run-02,ses-1,sub-011
sub-011_ses-1_run-02_Cathode2,22.34452690463513,54.76239891164005,57.938668072922155,Cathode2,run-02,ses-1,sub-011
sub-011_ses-1_run-02_Cathode3,63.90381440008059,27.3313297778368,27.90239045349881,Cathode3,run-02,ses-1,sub-011
sub-011_ses-3_run-01_Anode,52.30805307300761,29.9290485214442,49.48803117428906,Anode,run-01,ses-3,sub-011
sub-011_ses-3_run-01_Cathode1,49.7584025952965,-1.221488082781434,70.5130736164283,Cathode1,run-01,ses-3,sub-011
sub-011_ses-3_run-01_Cathode2,25.97586624417454,56.2389068659395,54.211274644127116,Cathode2,run-01,ses-3,sub-011
sub-011_ses-3_run-01_Cathode3,66.60953622730449,28.363840071484447,16.969678125577047,Cathode3,run-01,ses-3,sub-011
sub-011_ses-3_run-02_Anode,53.18503303686157,29.005628816783428,49.54469044925645,Anode,run-02,ses-3,sub-011
sub-011_ses-3_run-02_Cathode1,49.73243505926803,-2.180439641699195,69.6706047214102,Cathode1,run-02,ses-3,sub-011
sub-011_ses-3_run-02_Cathode2,26.852846208028495,55.315487161278725,54.2679339190945,Cathode2,run-02,ses-3,sub-011
sub-011_ses-3_run-02_Cathode3,66.60953622730449,28.363840071484447,16.969678125577047,Cathode3,run-02,ses-3,sub-011
sub-037_ses-4_run-01_Anode,59.61478544026613,33.9466288164258,68.29981521889567,Anode,run-01,ses-4,sub-037
sub-037_ses-4_run-01_Cathode1,54.8539081402123,-2.8669862672686577,82.60566119570285,Cathode1,run-01,ses-4,sub-037
sub-037_ses-4_run-01_Cathode2,31.774354949593544,54.274950571358204,77.6664615329355,Cathode2,run-01,ses-4,sub-037
sub-037_ses-4_run-01_Cathode3,76.65755536779761,37.88701789826155,33.340142889879644,Cathode3,run-01,ses-4,sub-037
sub-037_ses-4_run-02_Anode,60.525700230151415,29.428588893264532,69.17030920926481,Anode,run-02,ses-4,sub-037
sub-037_ses-4_run-02_Cathode1,57.3718449883163,-4.726262737065554,80.60237665381283,Cathode1,run-02,ses-4,sub-037
sub-037_ses-4_run-02_Cathode2,34.390672124922276,54.228910241276026,76.54495733045042,Cathode2,run-02,ses-4,sub-037
sub-037_ses-4_run-02_Cathode3,75.89721071720123,37.01292763277888,35.22239764779806,Cathode3,run-02,ses-4,sub-037
sub-037_ses-2_run-01_Anode,63.60322154313326,35.63290960714221,61.61443824507296,Anode,run-01,ses-2,sub-037
sub-037_ses-2_run-01_Cathode1,60.01025753840804,2.4409929662942886,78.50958567019552,Cathode1,run-01,ses-2,sub-037
sub-037_ses-2_run-01_Cathode2,36.50908836722374,61.34065800905228,68.15439495258033,Cathode2,run-01,ses-2,sub-037
sub-037_ses-2_run-01_Cathode3,80.4371832460165,35.04417319223285,24.900155881419778,Cathode3,run-01,ses-2,sub-037
sub-037_ses-2_run-02_Anode,63.591173972934484,34.730256389826536,61.62338888924569,Anode,run-02,ses-2,sub-037
sub-037_ses-2_run-02_Cathode1,59.93597235158086,2.4330632612109184,77.60990404244512,Cathode1,run-02,ses-2,sub-037
sub-037_ses-2_run-02_Cathode2,37.456145867705345,59.53057773783803,68.99803701043129,Cathode2,run-02,ses-2,sub-037
sub-037_ses-2_run-02_Cathode3,80.58575361967087,35.06003260239959,26.69951913692057,Cathode3,run-02,ses-2,sub-037
sub-037_ses-1_run-02_Anode,69.61224764585495,26.501593232154846,59.38699542358518,Anode,run-02,ses-1,sub-037
sub-037_ses-1_run-02_Cathode1,63.24234852194786,-7.562795706093311,75.61323443986475,Cathode1,run-02,ses-1,sub-037
sub-037_ses-1_run-02_Cathode2,45.393429916352034,54.89505007117987,67.47764087934047,Cathode2,run-02,ses-1,sub-037
sub-037_ses-1_run-02_Cathode3,82.38148829340935,29.626635920256376,27.505022913217545,Cathode3,run-02,ses-1,sub-037
sub-037_ses-3_run-01_Anode,64.20094848424196,40.99647684395313,56.98838538303971,Anode,run-01,ses-3,sub-037
sub-037_ses-3_run-01_Cathode1,58.31290319189429,9.687625788152218,78.58586223330349,Cathode1,run-01,ses-3,sub-037
sub-037_ses-3_run-01_Cathode2,37.09476773813367,65.80157202854753,63.53729273471981,Cathode2,run-01,ses-3,sub-037
sub-037_ses-3_run-01_Cathode3,77.69439107179642,42.287650145590305,23.251010047271848,Cathode3,run-01,ses-3,sub-037
sub-037_ses-3_run-02_Anode,63.30408103018999,41.0091803856194,57.06232624128461,Anode,run-02,ses-3,sub-037
sub-037_ses-3_run-02_Cathode1,59.12343788892031,8.764339324086905,77.62119039148092,Cathode1,run-02,ses-3,sub-037
sub-037_ses-3_run-02_Cathode2,34.55273574963212,65.85554206371307,65.5584785649553,Cathode2,run-02,ses-3,sub-037
sub-037_ses-3_run-02_Cathode3,76.8838563747704,43.21093660965562,24.215681889094412,Cathode3,run-02,ses-3,sub-037
sub-046_ses-1_run-01_Anode,55.232149209827185,9.660205855965614,67.05133670568466,Anode,run-01,ses-1,sub-046
sub-046_ses-1_run-01_Cathode1,46.75445403531194,-25.594103280454874,81.2494500130415,Cathode1,run-01,ses-1,sub-046
sub-046_ses-1_run-01_Cathode2,30.88106805458665,36.628155808895826,77.42013846337795,Cathode2,run-01,ses-1,sub-046
sub-046_ses-1_run-01_Cathode3,69.98047564551234,9.314410667866468,34.7052838653326,Cathode3,run-01,ses-1,sub-046
sub-046_ses-1_run-02_Anode,53.56823819503188,8.346243686974049,69.67716667056084,Anode,run-02,ses-1,sub-046
sub-046_ses-1_run-02_Cathode1,45.86929824575782,-26.611285410821438,82.03802809119225,Cathode1,run-02,ses-1,sub-046
sub-046_ses-1_run-02_Cathode2,28.2729631960392,34.46323184669018,79.94916892051697,Cathode2,run-02,ses-1,sub-046
sub-046_ses-1_run-02_Cathode3,68.50601467117667,11.546938214451075,37.98429872095585,Cathode3,run-02,ses-1,sub-046
sub-007_ses-1_run-01_Anode,-59.814101841300726,-31.27569356560707,60.8227519094944,Anode,run-01,ses-1,sub-007
sub-007_ses-1_run-01_Cathode1,-62.96717983856797,-50.35661441460252,33.3501698076725,Cathode1,run-01,ses-1,sub-007
sub-007_ses-1_run-01_Cathode2,-60.926693096756935,0.4739800840616226,53.91001179814339,Cathode2,run-01,ses-1,sub-007
sub-007_ses-1_run-01_Cathode3,-39.23949210345745,-42.06416237913072,82.82686673104763,Cathode3,run-01,ses-1,sub-007
sub-007_ses-1_run-02_Anode,-59.73176405578852,-31.993394449353218,61.875435292720795,Anode,run-02,ses-1,sub-007
sub-007_ses-1_run-02_Cathode1,-62.96717983856797,-50.35661441460252,33.3501698076725,Cathode1,run-02,ses-1,sub-007
