Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
4212.0,sub-038,ses-3,run-02,P7,Anode,Kira,half-automated,X,43.7,2023-12-10
10656.0,sub-038,ses-3,run-02,P7,Anode,Kira,half-automated,Y,48.83,2023-12-10
17100.0,sub-038,ses-3,run-02,P7,Anode,Kira,half-automated,Z,51.56,2023-12-10
4216.0,sub-038,ses-3,run-02,P7,Cathode1,Kira,half-automated,X,35.83,
10660.0,sub-038,ses-3,run-02,P7,Cathode1,Kira,half-automated,Y,16.82,
17104.0,sub-038,ses-3,run-02,P7,Cathode1,Kira,half-automated,Z,72.42,
4220.0,sub-038,ses-3,run-02,P7,Cathode2,Kira,half-automated,X,62.35,
10664.0,sub-038,ses-3,run-02,P7,Cathode2,Kira,half-automated,Y,44.94,
17108.0,sub-038,ses-3,run-02,P7,Cathode2,Kira,half-automated,Z,19.23,
4224.0,sub-038,ses-3,run-02,P7,Cathode3,Kira,half-automated,X,17.19,2023-12-10
10668.0,sub-038,ses-3,run-02,P7,Cathode3,Kira,half-automated,Y,70.72,2023-12-10
17112.0,sub-038,ses-3,run-02,P7,Cathode3,Kira,half-automated,Z,48.82,2023-12-10
4213.0,sub-038,ses-3,run-02,P7,Anode,Kira,manually,X,48.0,2023-12-10
10657.0,sub-038,ses-3,run-02,P7,Anode,Kira,manually,Y,52.0,2023-12-10
17101.0,sub-038,ses-3,run-02,P7,Anode,Kira,manually,Z,55.0,2023-12-10
4217.0,sub-038,ses-3,run-02,P7,Cathode1,Kira,manually,X,44.0,
10661.0,sub-038,ses-3,run-02,P7,Cathode1,Kira,manually,Y,20.0,
17105.0,sub-038,ses-3,run-02,P7,Cathode1,Kira,manually,Z,78.0,
4221.0,sub-038,ses-3,run-02,P7,Cathode2,Kira,manually,X,63.0,
10665.0,sub-038,ses-3,run-02,P7,Cathode2,Kira,manually,Y,44.0,
17109.0,sub-038,ses-3,run-02,P7,Cathode2,Kira,manually,Z,19.0,
4225.0,sub-038,ses-3,run-02,P7,Cathode3,Kira,manually,X,24.0,
10669.0,sub-038,ses-3,run-02,P7,Cathode3,Kira,manually,Y,79.0,
17113.0,sub-038,ses-3,run-02,P7,Cathode3,Kira,manually,Z,52.0,
4228.0,sub-038,ses-4,run-01,P7,Anode,Kira,half-automated,X,43.59,2024-01-18
10672.0,sub-038,ses-4,run-01,P7,Anode,Kira,half-automated,Y,51.37,2024-01-18
17116.0,sub-038,ses-4,run-01,P7,Anode,Kira,half-automated,Z,50.26,2024-01-18
4232.0,sub-038,ses-4,run-01,P7,Cathode1,Kira,half-automated,X,35.73,
10676.0,sub-038,ses-4,run-01,P7,Cathode1,Kira,half-automated,Y,18.6,
17120.0,sub-038,ses-4,run-01,P7,Cathode1,Kira,half-automated,Z,72.15,
4236.0,sub-038,ses-4,run-01,P7,Cathode2,Kira,half-automated,X,62.4,
10680.0,sub-038,ses-4,run-01,P7,Cathode2,Kira,half-automated,Y,44.04,
17124.0,sub-038,ses-4,run-01,P7,Cathode2,Kira,half-automated,Z,19.36,
4240.0,sub-038,ses-4,run-01,P7,Cathode3,Kira,half-automated,X,16.22,2024-01-18
10684.0,sub-038,ses-4,run-01,P7,Cathode3,Kira,half-automated,Y,73.83,2024-01-18
17128.0,sub-038,ses-4,run-01,P7,Cathode3,Kira,half-automated,Z,45.57,2024-01-18
4229.0,sub-038,ses-4,run-01,P7,Anode,Kira,manually,X,50.0,2024-01-18
10673.0,sub-038,ses-4,run-01,P7,Anode,Kira,manually,Y,55.0,2024-01-18
17117.0,sub-038,ses-4,run-01,P7,Anode,Kira,manually,Z,54.0,2024-01-18
4233.0,sub-038,ses-4,run-01,P7,Cathode1,Kira,manually,X,42.0,
10677.0,sub-038,ses-4,run-01,P7,Cathode1,Kira,manually,Y,24.0,
17121.0,sub-038,ses-4,run-01,P7,Cathode1,Kira,manually,Z,78.0,
4237.0,sub-038,ses-4,run-01,P7,Cathode2,Kira,manually,X,68.0,
10681.0,sub-038,ses-4,run-01,P7,Cathode2,Kira,manually,Y,48.0,
17125.0,sub-038,ses-4,run-01,P7,Cathode2,Kira,manually,Z,21.0,
4241.0,sub-038,ses-4,run-01,P7,Cathode3,Kira,manually,X,24.0,
10685.0,sub-038,ses-4,run-01,P7,Cathode3,Kira,manually,Y,81.0,
17129.0,sub-038,ses-4,run-01,P7,Cathode3,Kira,manually,Z,49.0,
4244.0,sub-038,ses-4,run-02,P7,Anode,Kira,half-automated,X,42.81,2024-01-18
10688.0,sub-038,ses-4,run-02,P7,Anode,Kira,half-automated,Y,48.02,2024-01-18
17132.0,sub-038,ses-4,run-02,P7,Anode,Kira,half-automated,Z,52.55,2024-01-18
4248.0,sub-038,ses-4,run-02,P7,Cathode1,Kira,half-automated,X,34.79,
10692.0,sub-038,ses-4,run-02,P7,Cathode1,Kira,half-automated,Y,18.68,
