,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
118,sub-002,ses-0,baseline,P1,Cathode1,Sophie,half-automated,X,-62.28,2023-05-17
119,sub-002,ses-0,baseline,P1,Cathode1,Sophie,manually,X,-62.28,2023-05-17
120,sub-002,ses-0,baseline,P1,Cathode2,Kira,half-automated,X,-66.34,2023-05-17
121,sub-002,ses-0,baseline,P1,Cathode2,Kira,manually,X,-66.34,2023-05-17
122,sub-002,ses-0,baseline,P1,Cathode2,Sophie,half-automated,X,-66.34,2023-05-17
123,sub-002,ses-0,baseline,P1,Cathode2,Sophie,manually,X,-66.34,2023-05-17
124,sub-002,ses-0,baseline,P1,Cathode3,Kira,half-automated,X,-34.14,2023-05-17
125,sub-002,ses-0,baseline,P1,Cathode3,Kira,manually,X,-34.14,2023-05-17
126,sub-002,ses-0,baseline,P1,Cathode3,Sophie,half-automated,X,-34.14,2023-05-17
127,sub-002,ses-0,baseline,P1,Cathode3,Sophie,manually,X,-34.14,2023-05-17
128,sub-002,ses-1,run-01,P1,Anode,Kira,half-automated,X,-66.29,2023-05-24
129,sub-002,ses-1,run-01,P1,Anode,Kira,manually,X,-70.0,2023-05-24
130,sub-002,ses-1,run-01,P1,Anode,Sophie,half-automated,X,-66.29,2023-05-24
131,sub-002,ses-1,run-01,P1,Anode,Sophie,manually,X,-75.0,2023-05-24
132,sub-002,ses-1,run-01,P1,Cathode1,Kira,half-automated,X,-69.38,
133,sub-002,ses-1,run-01,P1,Cathode1,Kira,manually,X,-71.0,
134,sub-002,ses-1,run-01,P1,Cathode1,Sophie,half-automated,X,-69.43,
135,sub-002,ses-1,run-01,P1,Cathode1,Sophie,manually,X,-71.0,
136,sub-002,ses-1,run-01,P1,Cathode2,Kira,half-automated,X,-63.56,2023-05-24
137,sub-002,ses-1,run-01,P1,Cathode2,Kira,manually,X,-73.0,
138,sub-002,ses-1,run-01,P1,Cathode2,Sophie,half-automated,X,-63.77,
139,sub-002,ses-1,run-01,P1,Cathode2,Sophie,manually,X,-73.0,
140,sub-002,ses-1,run-01,P1,Cathode3,Kira,half-automated,X,-46.77,
141,sub-002,ses-1,run-01,P1,Cathode3,Kira,manually,X,-54.0,
142,sub-002,ses-1,run-01,P1,Cathode3,Sophie,half-automated,X,-47.59,2023-05-24
143,sub-002,ses-1,run-01,P1,Cathode3,Sophie,manually,X,-54.0,
144,sub-002,ses-1,run-02,P1,Anode,Kira,half-automated,X,-65.35,2023-05-24
145,sub-002,ses-1,run-02,P1,Anode,Kira,manually,X,-75.0,2023-05-24
146,sub-002,ses-1,run-02,P1,Anode,Sophie,half-automated,X,-66.22,2023-05-24
147,sub-002,ses-1,run-02,P1,Anode,Sophie,manually,X,-73.0,2023-05-24
148,sub-002,ses-1,run-02,P1,Cathode1,Kira,half-automated,X,-69.39,
149,sub-002,ses-1,run-02,P1,Cathode1,Kira,manually,X,-73.0,
150,sub-002,ses-1,run-02,P1,Cathode1,Sophie,half-automated,X,-69.43,
151,sub-002,ses-1,run-02,P1,Cathode1,Sophie,manually,X,-76.0,
152,sub-002,ses-1,run-02,P1,Cathode2,Kira,half-automated,X,-62.74,2023-05-24
153,sub-002,ses-1,run-02,P1,Cathode2,Kira,manually,X,-73.0,2023-05-24
154,sub-002,ses-1,run-02,P1,Cathode2,Sophie,half-automated,X,-63.69,
155,sub-002,ses-1,run-02,P1,Cathode2,Sophie,manually,X,-73.0,
156,sub-002,ses-1,run-02,P1,Cathode3,Kira,half-automated,X,-45.82,
157,sub-002,ses-1,run-02,P1,Cathode3,Kira,manually,X,-54.0,
158,sub-002,ses-1,run-02,P1,Cathode3,Sophie,half-automated,X,-47.74,2023-05-24
159,sub-002,ses-1,run-02,P1,Cathode3,Sophie,manually,X,-54.0,
160,sub-002,ses-2,run-01,P1,Anode,Kira,half-automated,X,-60.48,2023-08-24
161,sub-002,ses-2,run-01,P1,Anode,Kira,manually,X,-69.0,2023-08-24
162,sub-002,ses-2,run-01,P1,Anode,Sophie,half-automated,X,-60.41,2023-08-24
163,sub-002,ses-2,run-01,P1,Anode,Sophie,manually,X,-69.0,2023-08-24
164,sub-002,ses-2,run-01,P1,Cathode1,Kira,half-automated,X,-55.93,
165,sub-002,ses-2,run-01,P1,Cathode1,Kira,manually,X,-65.0,
166,sub-002,ses-2,run-01,P1,Cathode1,Sophie,half-automated,X,-55.92,
167,sub-002,ses-2,run-01,P1,Cathode1,Sophie,manually,X,-65.0,
168,sub-002,ses-2,run-01,P1,Cathode2,Kira,half-automated,X,-67.68,2023-08-24
169,sub-002,ses-2,run-01,P1,Cathode2,Kira,manually,X,-76.0,
170,sub-002,ses-2,run-01,P1,Cathode2,Sophie,half-automated,X,-67.68,
171,sub-002,ses-2,run-01,P1,Cathode2,Sophie,manually,X,-77.0,
172,sub-002,ses-2,run-01,P1,Cathode3,Kira,half-automated,X,-37.7,
173,sub-002,ses-2,run-01,P1,Cathode3,Kira,manually,X,-49.0,
