"Subject","Session","run","Experiment","Electrode","Rater","Method","X","Y","Z","Euclidean_Norm"
"sub-003","ses-2","run-02","P3","Cathode1","Kira","manually",-72,-9,57,92.2713389953782
"sub-003","ses-2","run-02","P3","Cathode1","Network","full-automated",-65.09702959,-10.29097581,57.69085982,87.5885994369943
"sub-003","ses-2","run-02","P3","Cathode2","Kira","manually",-73,-61,16,96.4676111448812
"sub-003","ses-2","run-02","P3","Cathode2","Network","full-automated",-68.26260169,-60.54595314,15.66399168,92.5794570435028
"sub-003","ses-2","run-02","P3","Cathode3","Kira","manually",-55,-67,80,117.957619508025
"sub-003","ses-2","run-02","P3","Cathode3","Network","full-automated",-48.73983607,-67.77174115,78.84760334,114.828241609349
"sub-003","ses-3","run-01","P3","Anode","Kira","manually",-76,-52,53,106.249705881946
"sub-003","ses-3","run-01","P3","Anode","Network","full-automated",-66.95505887,-50.55388606,55.58121127,100.637698454868
"sub-003","ses-3","run-01","P3","Cathode1","Kira","manually",-76,-13,61,98.3158176490436
"sub-003","ses-3","run-01","P3","Cathode1","Network","full-automated",-67.7278825,-14.02046925,60.0033428,91.5644077854398
"sub-003","ses-3","run-01","P3","Cathode2","Kira","manually",-69,-64,16,95.4620343382645
"sub-003","ses-3","run-01","P3","Cathode2","Network","full-automated",-67.37771948,-63.70969606,14.60202089,93.8717288029529
"sub-003","ses-3","run-01","P3","Cathode3","Kira","manually",-53,-68,82,118.983192090312
"sub-003","ses-3","run-01","P3","Cathode3","Network","full-automated",-48.52245739,-68.32007055,81.09687784,116.61374064199
"sub-003","ses-3","run-02","P3","Anode","Kira","manually",-79,-52,55,109.407495172863
"sub-003","ses-3","run-02","P3","Anode","Network","full-automated",-67.22407117,-52.2522076,55.92286482,101.866264059397
"sub-003","ses-3","run-02","P3","Cathode1","Kira","manually",-76,-14,61,98.4530344885316
"sub-003","ses-3","run-02","P3","Cathode1","Network","full-automated",-67.29570389,-15.85362979,61.11157194,92.2749888352566
"sub-003","ses-3","run-02","P3","Cathode2","Kira","manually",-71,-65,15,97.4217634822938
"sub-003","ses-3","run-02","P3","Cathode2","Network","full-automated",-67.45472026,-64.42576468,15.08939861,94.4907846849049
"sub-003","ses-3","run-02","P3","Cathode3","Kira","manually",-54,-72,82,121.753850041795
"sub-003","ses-3","run-02","P3","Cathode3","Network","full-automated",-48.81048718,-70.55394575,80.88917957,117.912604462587
"sub-003","ses-4","run-01","P3","Anode","Kira","manually",-77,-51,51,105.503554442493
"sub-003","ses-4","run-01","P3","Anode","Network","full-automated",-67.66923928,-51.44121898,49.79129211,98.5114091101409
"sub-003","ses-4","run-01","P3","Cathode1","Kira","manually",-69,-11,55,88.9213135305591
"sub-003","ses-4","run-01","P3","Cathode1","Network","full-automated",-68.21074671,-11.57442778,54.96890364,88.3643237542947
"sub-003","ses-4","run-01","P3","Cathode2","Kira","manually",-76,-66,12,101.370607179793
"sub-003","ses-4","run-01","P3","Cathode2","Network","full-automated",-66.60381374,-66.92141233,13.02785974,95.3114293375123
"sub-003","ses-4","run-01","P3","Cathode3","Kira","manually",-59,-71,77,120.212312181407
"sub-003","ses-4","run-01","P3","Cathode3","Network","full-automated",-50.77707175,-69.68028234,76.06749533,114.977896172553
"sub-003","ses-4","run-02","P3","Anode","Kira","manually",-77,-53,51,106.484740690861
"sub-003","ses-4","run-02","P3","Anode","Network","full-automated",-67.88492763,-52.37579941,50.24586987,99.3792493539766
"sub-003","ses-4","run-02","P3","Cathode1","Kira","manually",-69,-12,56,89.6716231591689
"sub-003","ses-4","run-02","P3","Cathode1","Network","full-automated",-68.13880614,-12.45407047,55.36979263,88.6781523789565
"sub-003","ses-4","run-02","P3","Cathode2","Kira","manually",-76,-68,14,102.936873859662
"sub-003","ses-4","run-02","P3","Cathode2","Network","full-automated",-66.84448242,-67.44249036,13.18602465,95.8673332372753
"sub-003","ses-4","run-02","P3","Cathode3","Kira","manually",-60,-73,77,121.89339604753
"sub-003","ses-4","run-02","P3","Cathode3","Network","full-automated",-51.31318907,-70.63836277,76.49265401,116.077335362478
"sub-004","ses-1","run-01","P3","Anode","Kira","manually",82,-58,3,100.483829544858
"sub-004","ses-1","run-01","P3","Anode","Network","full-automated",76.59013069,-56.43331709,1.74128498,95.151455429086
"sub-004","ses-1","run-01","P3","Cathode1","Kira","manually",71,-87,20,114.061386980871
"sub-004","ses-1","run-01","P3","Cathode1","Network","full-automated",64.7784761,-82.21422154,19.16005707,106.407410344356
"sub-004","ses-1","run-01","P3","Cathode2","Kira","manually",82,-57,-33,105.176042899512
"sub-004","ses-1","run-01","P3","Cathode2","Network","full-automated",74.06425222,-57.13274997,-31.41599613,98.6743603418967
"sub-004","ses-1","run-01","P3","Cathode3","Kira","manually",84,-29,20,91.087869664407
"sub-004","ses-1","run-01","P3","Cathode3","Network","full-automated",78.41440952,-27.75926803,19.89491087,85.5289662071096
"sub-004","ses-1","run-02","P3","Anode","Kira","manually",84,-59,1,102.654761214471
"sub-004","ses-1","run-02","P3","Anode","Network","full-automated",76.4932552,-56.63856029,1.69442879,95.1946200777159
"sub-004","ses-1","run-02","P3","Cathode1","Kira","manually",71,-87,20,114.061386980871
"sub-004","ses-1","run-02","P3","Cathode1","Network","full-automated",64.88576196,-82.57166488,19.17519483,106.751721498781
"sub-004","ses-1","run-02","P3","Cathode2","Kira","manually",80,-58,-32,103.86529738079
"sub-004","ses-1","run-02","P3","Cathode2","Network","full-automated",73.91875314,-57.70466944,-31.01536672,98.7712706900545
"sub-004","ses-1","run-02","P3","Cathode3","Kira","manually",86,-29,18,92.5256721132033
"sub-004","ses-1","run-02","P3","Cathode3","Network","full-automated",78.29761111,-28.30595623,20.50958434,85.746055964266
"sub-004","ses-2","run-01","P3","Anode","Kira","manually",84,-57,-13,102.342562016006
"sub-004","ses-2","run-01","P3","Anode","Network","full-automated",76.62876887,-55.54850699,-11.0128757,95.2832004003519
"sub-004","ses-2","run-01","P3","Cathode1","Kira","manually",74,-83,2,111.216006042296
"sub-004","ses-2","run-01","P3","Cathode1","Network","full-automated",68.89091977,-78.19365505,5.35849464,104.349987933118
"sub-004","ses-2","run-01","P3","Cathode2","Kira","manually",74,-58,-42,102.975725294848
"sub-004","ses-2","run-01","P3","Cathode2","Network","full-automated",68.89091977,-78.19365505,5.35849464,104.349987933118
"sub-004","ses-2","run-01","P3","Cathode3","Kira","manually",85,-30,0,90.1387818865997
"sub-004","ses-2","run-01","P3","Cathode3","Network","full-automated",78.4484673,-29.8890236,0.64668623,83.9519741075849
"sub-004","ses-2","run-02","P3","Anode","Kira","manually",88,-58,13,106.193220122567
"sub-004","ses-2","run-02","P3","Anode","Network","full-automated",68.43959798,-78.90707833,5.45575489,104.594793578173
"sub-004","ses-2","run-02","P3","Cathode1","Kira","manually",76,-82,5,111.915146427997
"sub-004","ses-2","run-02","P3","Cathode1","Network","full-automated",68.43959798,-78.90707833,5.45575489,104.594793578173
"sub-004","ses-2","run-02","P3","Cathode2","Kira","manually",74,-57,-41,102.009803450453
"sub-004","ses-2","run-02","P3","Cathode2","Network","full-automated",75.86707648,-56.27399471,-10.79171365,95.0738494947316
"sub-004","ses-2","run-02","P3","Cathode3","Kira","manually",84,-31,1,89.5432856220945
"sub-004","ses-2","run-02","P3","Cathode3","Network","full-automated",75.86707648,-56.27399471,-10.79171365,95.0738494947316
"sub-004","ses-3","run-01","P3","Anode","Kira","manually",86,-55,-11,102.674242144756
"sub-004","ses-3","run-01","P3","Anode","Network","full-automated",78.00742775,-54.1791687,-9.67500135,95.4680404968963
"sub-004","ses-3","run-01","P3","Cathode1","Kira","manually",79,-78,9,111.382224793725
"sub-004","ses-3","run-01","P3","Cathode1","Network","full-automated",70.82542933,-74.62912581,9.42865613,103.318185308112
"sub-004","ses-3","run-01","P3","Cathode2","Kira","manually",81,-62,-39,109.206226928688
"sub-004","ses-3","run-01","P3","Cathode2","Network","full-automated",70.82542933,-74.62912581,9.42865613,103.318185308112
"sub-004","ses-3","run-01","P3","Cathode3","Kira","manually",86,-30,0,91.0823802938856
"sub-004","ses-3","run-01","P3","Cathode3","Network","full-automated",79.4590085,-27.69527038,-1.33056843,84.1577830362189
"sub-004","ses-3","run-02","P3","Anode","Kira","manually",85,-58,-12,103.600193050013
"sub-004","ses-3","run-02","P3","Anode","Network","full-automated",71.09191671,-75.55219929,10.0156068,104.223355437395
"sub-004","ses-3","run-02","P3","Cathode1","Kira","manually",79,-79,10,112.169514575039
"sub-004","ses-3","run-02","P3","Cathode1","Network","full-automated",71.09191671,-75.55219929,10.0156068,104.223355437395
"sub-004","ses-3","run-02","P3","Cathode2","Kira","manually",82,-62,-40,110.308657865101
"sub-004","ses-3","run-02","P3","Cathode2","Network","full-automated",78.18771065,-54.88897187,-9.25263848,95.9777507992105
"sub-004","ses-3","run-02","P3","Cathode3","Kira","manually",87,-30,-1,92.0326029187483
