subject,session,run,anode_mni,cathode1_mni,cathode2_mni,cathode3_mni
sub-006,ses-1,run-01,[ 57.43275681 -80.24324258 -20.76128472],[ 63.73246158 -82.11549307  31.21809374],[ 70.26301993 -67.94471032   1.49913692],[ 76.43530207 -36.64847017   0.49187259]
sub-006,ses-1,run-02,[ 56.77129848 -80.94042212 -22.43040432],[ 63.81873582 -82.85250179  30.90652088],[ 70.33845542 -68.53673621   1.66783653],[ 76.38576104 -36.93127026   0.58474244]
sub-006,ses-3,run-01,[ 63.20213293 -71.8919106  -21.08666756],[ 63.5507826  -83.14807176  28.01308212],[ 71.38439391 -65.75955061   6.27210465],[ 76.37565873 -38.32111113  12.7302828 ]
sub-006,ses-3,run-02,[ 62.70559032 -72.37240184 -20.84260379],[ 63.58216455 -83.69012779  28.20628734],[ 71.04941596 -66.12978962   6.69131286],[ 75.66073707 -38.6874304   12.97012513]
sub-028,ses-4,run-01,[28.99827773 63.57171306 56.28438795],[55.41024369  6.26075756 73.59643339],[56.09255885 36.37323574 50.79512185],[65.82553974 28.65034699 13.44622599]
sub-028,ses-4,run-02,[29.59622787 62.73416356 58.01140886],[55.85384167  5.67184794 74.8092115 ],[56.59487667 35.84943303 51.99374398],[66.31247988 28.26818906 14.28291591]
sub-028,ses-2,run-01,[32.72013894 59.08347918 58.8412927 ],[56.14216322  1.18253427 73.3134061 ],[57.09316371 32.19183231 51.3874449 ],[65.47939144 24.56700015 16.24808524]
sub-028,ses-2,run-02,[32.7003064  58.29009552 60.88330029],[56.35924872  0.65220062 74.30363233],[57.15811511 31.75760261 52.68492584],[65.18387248 24.66379916 17.20610104]
sub-028,ses-1,run-01,[26.02009596 61.52769869 62.28981524],[52.9698928  36.73309997 55.73988754],[53.1861674   3.70591053 76.87526141],[64.34663771 31.69590612 20.49384192]
sub-028,ses-1,run-02,[25.89997911 60.97550126 63.3340463 ],[52.93929365 36.34126787 56.42867952],[53.34083249  3.24185771 77.44165046],[64.52435315 31.29035148 21.02135701]
sub-038,ses-4,run-01,[16.89656117 73.82858248 45.2181664 ],[35.62408353 19.68547992 74.4063931 ],[43.2061988  51.62391846 51.24637808],[61.44134501 45.2989538  19.55303291]
sub-038,ses-4,run-02,[16.72954335 71.90366087 48.56253929],[35.21785362 17.58806422 76.26180131],[43.023229   49.96817051 53.74297007],[61.39412249 44.34190134 22.23605803]
sub-038,ses-2,run-01,[14.43894915 66.42751217 54.26365422],[41.67536707 14.88177301 74.84505813],[43.66505641 46.87678314 54.69722323],[61.48300735 43.72189333 21.41611341]
sub-038,ses-2,run-02,[12.72301892 65.7765004  55.04778959],[40.68025503 14.42094023 75.48348125],[41.91432139 46.42419195 55.37854978],[59.68886561 43.73561632 22.05110145]
sub-038,ses-1,run-01,[ 5.64725976 67.57877895 55.86597633],[29.63328631 14.76468425 78.01206164],[34.7357328  47.79411478 61.31825218],[59.0267391  43.81149346 31.50795312]
sub-038,ses-1,run-02,[ 5.7340268  66.3507201  57.25011902],[29.66762048 13.4091973  78.22391745],[34.91748335 46.73503811 62.43355642],[59.07911626 42.81631659 32.79396191]
sub-038,ses-3,run-01,[16.94755696 73.45924798 46.2828312 ],[35.99481769 17.76058544 74.41563352],[43.93390623 50.62794137 51.51475643],[61.62033452 45.8405783  20.16650763]
sub-038,ses-3,run-02,[16.11950129 72.21224347 49.35073993],[35.6563407  16.01012708 75.46947221],[43.6719157  49.63094777 53.57937847],[61.43900163 45.24539756 22.70681933]
